,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,1,0,1,0.0,-22.130000000000003,694
1,0,1,1,0,0,0,1,0,0.0,-22.130000000000003,509
2,1,1,0,1,1,0,1,1,0.0,-22.019999999999996,896
3,0,0,1,0,0,1,0,0,0.0,-22.02,829
4,0,0,1,0,1,1,0,0,0.0,-20.01,128
5,1,1,0,1,0,0,1,1,0.0,-20.009999999999998,147
6,1,0,0,1,1,1,1,1,0.0,-20.000000000000004,170
7,0,1,1,0,0,0,0,0,0.0,-20.0,112
8,0,0,1,0,0,0,0,0,0.0,-19.3,63
9,1,1,0,1,1,1,1,1,0.0,-19.3,88
10,0,1,1,0,0,1,0,0,0.0,-18.959999999999997,89
11,1,0,0,1,1,0,1,1,0.0,-18.96,75
12,0,1,0,1,0,0,1,0,0.0,-17.59,57
13,1,0,1,0,1,1,0,1,0.0,-17.589999999999996,31
14,0,1,1,0,0,1,1,0,0.0,-16.709999999999997,19
15,1,0,0,1,1,0,0,1,0.0,-16.709999999999997,22
16,1,1,1,0,1,1,0,1,0.0,-15.769999999999998,8
17,0,0,0,1,0,0,1,0,0.0,-15.77,6
18,0,0,1,0,0,0,1,0,0.0,-15.31,4
19,1,1,0,1,1,1,0,1,0.0,-15.309999999999997,13
20,1,0,0,1,0,0,0,1,0.0,-14.780000000000001,2
21,0,1,1,0,1,1,1,0,0.0,-14.780000000000001,7
22,0,1,1,0,1,1,0,0,0.0,-14.510000000000002,3
23,1,0,0,1,0,0,1,1,0.0,-14.510000000000002,3
24,1,0,0,1,0,1,0,1,0.0,-14.24,2
25,0,0,1,0,1,1,1,0,0.0,-14.160000000000004,3
26,1,1,0,1,0,0,0,1,0.0,-14.159999999999997,4
27,0,0,1,0,0,1,1,0,0.0,-13.650000000000002,2
28,1,1,1,0,0,1,0,1,0.0,-13.26,1
29,0,1,0,1,1,0,1,0,0.0,-12.639999999999999,1
30,1,1,1,0,0,1,0,0,0.125,-9.510000000000002,1
31,1,1,1,0,0,0,0,1,0.0,-11.759999999999998,1
32,1,1,0,1,0,1,1,1,0.0,-11.329999999999995,1
33,0,1,1,1,0,0,1,0,0.125,-10.17,1
34,1,0,0,0,1,1,0,1,0.125,-10.17,1
35,0,0,1,1,0,1,0,0,0.0,-7.959999999999998,1
36,1,1,0,0,1,0,1,1,0.0,-7.959999999999997,1
37,1,0,0,1,1,1,0,1,0.125,-22.130000000000003,1
38,0,0,1,1,0,0,0,0,0.0,-4.579999999999998,1
39,0,0,0,1,0,1,0,0,0.0,-3.46,1
40,0,0,1,1,0,1,0,0,0.125,-7.959999999999998,1
41,0,1,1,0,0,1,1,0,0.125,-16.709999999999997,1
