,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-470.2400000000001,414
1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-470.2399999999999,192
2,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0.0,-469.29999999999984,1349
3,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0.0,-469.30000000000007,155
4,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0.0,-463.3599999999998,36
5,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0.0,-463.36,33
6,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0.0,-462.72999999999985,40
7,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0.0,-462.73,165
8,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0.0,-461.95999999999987,12
9,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0.0,-461.96,20
10,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0.0,-461.55000000000007,39
11,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0.0,-461.5499999999999,43
12,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-460.4799999999999,40
13,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0.0,-460.47999999999996,20
14,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0.0,-459.85999999999973,28
15,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0.0,-459.8599999999999,14
16,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.058823529411764705,-470.2400000000001,4
17,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.058823529411764705,-470.2399999999999,4
18,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-457.98999999999984,2
