,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
56,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-133.56,24
57,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.0,-133.56,11
58,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-132.97999999999996,1
59,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0.0,-132.98,2
60,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,7
61,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.05,-138.86999999999998,3
62,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.0,-132.84,3
63,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0.0,-132.83999999999995,7
64,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-132.52,4
65,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0.05,-144.94,1
66,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0.0,-132.21,9
67,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0.0,-132.21,57
68,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0.0,-132.13999999999996,13
69,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0.0,-132.14,2
70,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-131.97,12
71,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-131.97,4
72,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0.0,-130.87,3
73,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-130.86999999999995,8
74,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0,-130.57000000000002,2
75,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,1
76,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.05,-138.86999999999998,1
77,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-129.90999999999997,1
78,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.0,-129.84,2
