,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,0,1,0,1,0.0,-32.98,1166
1,1,0,1,0,1,0,1,0,0.0,-32.980000000000004,2545
2,1,0,1,0,0,0,1,0,0.0,-26.59,58
3,0,1,0,1,1,1,0,1,0.0,-26.589999999999996,84
4,1,0,1,1,1,0,1,0,0.0,-24.200000000000003,40
5,0,1,0,0,0,1,0,1,0.0,-24.200000000000003,13
6,1,0,0,0,1,0,1,0,0.0,-22.610000000000003,42
7,0,1,1,1,0,1,0,1,0.0,-22.609999999999996,11
8,1,0,0,1,1,0,1,0,0.0,-20.21,9
9,1,0,1,0,0,1,1,0,0.0,-19.94,2
10,0,1,0,1,1,0,0,1,0.0,-19.939999999999998,1
11,0,1,1,1,1,0,1,1,0.0,-17.39,1
12,1,0,0,0,0,1,0,0,0.0,-17.39,6
13,1,0,1,0,1,1,1,0,0.0,-16.970000000000002,1
14,1,1,1,1,0,0,1,1,0.0,-14.62,1
15,1,1,0,1,1,0,1,0,0.0,-14.379999999999999,1
16,0,0,1,0,0,1,0,1,0.0,-14.379999999999997,1
17,1,1,1,1,1,0,1,0,0.0,-14.09,2
18,0,0,0,0,0,1,0,1,0.0,-14.09,2
19,1,0,0,0,0,0,0,0,0.0,-13.32,1
20,0,1,1,1,1,1,1,1,0.0,-13.320000000000002,2
21,0,0,0,1,1,1,0,1,0.0,-12.48,2
22,1,1,1,0,0,0,1,0,0.0,-12.480000000000002,1
23,1,0,0,1,1,1,1,0,0.0,-12.400000000000002,1
24,1,0,0,0,0,0,1,0,0.0,-11.780000000000001,1
25,1,1,1,0,1,0,1,0,0.0,-10.209999999999999,1
26,0,0,0,1,0,1,0,1,0.0,-10.209999999999999,2
27,1,0,1,0,1,0,1,1,0.125,1.0799999999999965,1
28,1,0,1,0,1,0,0,0,0.0,-0.700000000000002,1
29,1,0,1,0,1,0,1,0,0.125,-32.980000000000004,1
