,x_0,x_1,x_10,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,0,1,0,1,1,1,1,0.0,-214.64999999999998,722
1,1,0,1,1,1,0,1,0,0,0,0,0.0,-214.64999999999998,961
2,0,0,0,1,1,1,1,0,1,0,0,0.0,-210.52999999999997,803
3,1,1,1,0,0,0,0,1,0,1,1,0.0,-210.53000000000003,49
4,1,0,0,1,1,0,1,0,0,0,0,0.0,-208.54999999999998,118
5,0,1,1,0,0,1,0,1,1,1,1,0.0,-208.54999999999998,89
6,0,0,1,1,1,1,1,0,1,0,0,0.0,-207.74999999999997,325
7,1,1,0,0,0,0,0,1,0,1,1,0.0,-207.75,17
8,1,1,0,0,0,0,0,1,1,1,1,0.0,-207.32999999999998,16
9,0,0,1,1,1,1,1,0,0,0,0,0.0,-207.32999999999998,172
10,0,1,1,0,0,0,0,1,1,1,1,0.0,-205.15,55
11,1,0,0,1,1,1,1,0,0,0,0,0.0,-205.14999999999998,71
12,0,1,1,0,0,1,0,1,0,1,1,0.0,-205.07000000000005,21
13,1,0,0,1,1,0,1,0,1,0,0,0.0,-205.06999999999996,53
14,1,0,0,1,1,0,1,0,0,0,1,0.0,-204.70999999999998,74
15,0,1,1,0,0,1,0,1,1,1,0,0.0,-204.70999999999998,25
16,0,1,0,0,0,0,0,1,1,1,1,0.0,-204.08999999999997,44
17,1,0,1,1,1,1,1,0,0,0,0,0.0,-204.09,52
18,0,1,0,0,0,1,0,0,1,1,1,0.0,-203.91000000000003,34
19,1,0,1,1,1,0,1,1,0,0,0,0.0,-203.91,17
20,1,1,0,0,0,1,0,1,0,1,1,0.0,-203.23000000000002,3
21,0,0,1,1,1,0,1,0,1,0,0,0.0,-203.23,70
22,1,0,1,1,1,0,1,0,0,0,1,0.0,-201.11,16
23,0,1,0,0,0,1,0,1,1,1,0,0.0,-201.10999999999999,8
24,1,0,0,0,0,0,0,1,1,1,1,0.0,-200.61999999999998,1
25,0,1,1,1,1,1,1,0,0,0,0,0.0,-200.61999999999998,36
26,0,1,1,0,0,1,1,1,0,1,1,0.0,-199.88,8
27,1,0,0,1,1,0,0,0,1,0,0,0.0,-199.88,9
28,1,1,1,0,0,1,0,1,0,1,1,0.0,-198.85000000000005,1
29,0,0,0,1,1,0,1,0,1,0,0,0.0,-198.85,10
30,1,0,0,1,1,0,1,1,0,0,0,0.0,-198.02999999999997,1
31,0,1,1,0,0,1,0,0,1,1,1,0.0,-198.03000000000006,4
32,1,0,0,1,1,0,0,1,1,0,0,0.0,-197.3,4
33,0,1,1,0,0,1,1,0,0,1,1,0.0,-197.30000000000004,3
34,1,0,1,1,1,0,0,1,0,0,0,0.0,-196.12000000000003,2
35,0,1,0,0,0,1,1,0,1,1,1,0.0,-196.12,4
36,1,1,0,0,0,0,1,1,0,1,1,0.0,-194.12,1
37,0,0,1,1,1,1,0,0,1,0,0,0.0,-194.12,12
38,0,0,1,1,1,0,1,0,0,0,0,0.0,-192.83,1
39,0,0,1,1,0,1,1,0,1,0,0,0.0,-192.22000000000003,6
