,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,1,0,0,0.0,-78.93,696
1,1,0,0,1,0,1,1,0.0,-78.92999999999999,2815
2,1,0,1,1,0,0,1,0.0,-74.76,179
3,0,1,0,0,1,1,0,0.0,-74.76000000000002,121
4,0,1,0,0,1,0,0,0.0,-72.71000000000001,28
5,1,0,1,1,0,1,1,0.0,-72.71000000000001,91
6,1,0,1,0,0,0,1,0.0,-69.61,5
7,0,1,0,1,1,1,0,0.0,-69.61000000000001,18
8,1,0,1,0,0,0,0,0.0,-66.73,2
9,0,1,0,1,1,1,1,0.0,-66.73,7
10,1,0,1,0,1,0,0,0.0,-65.55,1
11,0,1,0,1,0,1,1,0.0,-65.55,6
12,0,1,1,0,1,1,0,0.0,-64.60000000000002,1
13,1,0,0,1,0,0,1,0.0,-64.6,3
14,1,1,1,0,1,0,0,0.0,-64.18,2
15,0,0,0,1,0,1,1,0.0,-64.17999999999999,3
16,1,1,1,0,0,0,0,0.0,-62.70000000000001,2
17,0,0,0,1,1,1,1,0.0,-62.70000000000001,1
18,0,1,0,1,0,1,0,0.0,-62.290000000000006,2
19,1,1,0,0,0,0,1,0.0,-61.959999999999994,3
20,1,0,1,1,0,1,0,0.0,-60.59000000000002,4
21,0,1,0,0,1,1,1,0.0,-60.02000000000002,2
22,0,0,1,1,0,1,1,0.0,-57.98000000000001,1
23,1,0,0,0,0,1,1,0.0,-50.779999999999994,2
24,0,1,1,1,1,0,0,0.0,-50.780000000000015,1
25,1,0,0,1,0,1,1,0.14285714285714285,-78.92999999999999,1
26,0,0,1,1,1,0,1,0.0,-47.650000000000006,1
27,1,0,0,1,0,1,1,0.14285714285714285,-78.92999999999999,1
28,1,0,0,1,0,1,1,0.14285714285714285,-78.92999999999999,1
