distribution,n,run,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,total
laplace,17,run_5,955760.0,20.0,198.4,6766.49,10863.51,20.54,2199.0,4899.0,975589.0
laplace,18,run_1,955760.0,20.0,198.4,5842.1,10956.9,20.54,697.0,2370.0,973256.0
laplace,18,run_2,955760.0,20.0,198.4,7331.09,10876.91,20.54,800.0,1731.0,974768.0
laplace,18,run_3,955760.0,20.0,198.4,6730.89,10884.11,20.54,2662.0,3655.0,976037.0
laplace,18,run_4,955760.0,20.0,198.4,5942.7,10957.3,20.54,1059.0,3944.0,973719.0
laplace,18,run_5,955760.0,20.0,198.4,5006.89,10890.11,20.54,472.0,1685.0,972129.0
laplace,19,run_1,955760.0,20.0,198.4,5494.89,10903.11,20.54,893.0,2307.0,973051.0
laplace,19,run_2,955760.0,20.0,198.4,5347.49,10887.51,20.54,678.0,3332.0,972673.0
laplace,19,run_3,955760.0,20.0,198.4,5856.5,10991.5,20.54,884.0,2924.0,973492.0
laplace,19,run_4,955760.0,20.0,198.4,5507.3,10953.7,20.54,1379.0,1379.0,973600.0
laplace,19,run_5,955760.0,20.0,198.4,6051.9,10968.1,20.54,741.0,1777.0,973521.0
laplace,2,run_1,955760.0,20.0,198.4,3406.9,10687.1,20.54,636.0,636.0,970490.0
laplace,2,run_2,955760.0,20.0,198.4,2207.7,10767.3,20.54,708.0,708.0,969443.0
laplace,2,run_3,955760.0,20.0,198.4,2053.09,10686.91,20.54,1053.0,1053.0,969553.0
laplace,2,run_4,955760.0,20.0,198.4,1960.5,10767.5,20.54,806.0,806.0,969294.0
laplace,2,run_5,955760.0,20.0,198.4,2619.7,10767.3,20.54,313.0,313.0,969460.0
laplace,20,run_1,955760.0,20.0,198.4,7043.09,10918.91,20.54,319.0,1736.0,974041.0
laplace,20,run_2,955760.0,20.0,198.4,5930.89,10906.11,20.54,1009.0,1929.0,973606.0
laplace,20,run_3,955760.0,20.0,198.4,8678.3,10983.7,20.54,308.0,3579.0,975730.0
laplace,20,run_4,955760.0,20.0,198.4,6664.1,11002.9,20.54,966.0,2431.0,974393.0
laplace,20,run_5,955760.0,20.0,198.4,6568.89,10891.11,20.54,690.0,2139.0,973910.0
laplace,21,run_1,955760.0,20.0,198.4,10091.09,10939.91,20.54,519.0,4563.0,977310.0
laplace,21,run_2,955760.0,20.0,198.4,9375.9,11020.1,20.54,626.0,2504.0,976782.0
laplace,21,run_3,955760.0,20.0,198.4,4822.9,10994.1,20.54,823.0,3566.0,972400.0
laplace,21,run_4,955760.0,20.0,198.4,5794.29,10939.71,20.54,590.0,3033.0,973084.0
laplace,21,run_5,955760.0,20.0,198.4,8888.49,10916.51,20.54,368.0,2410.0,975933.0
laplace,22,run_1,955760.0,20.0,198.4,6565.49,10940.51,20.54,3115.0,5628.0,976381.0
laplace,22,run_2,955760.0,20.0,198.4,8999.3,11017.7,20.54,2774.0,5628.0,978551.0
laplace,22,run_3,955760.0,20.0,198.4,12607.3,11002.7,20.54,2893.0,5847.0,982263.0
laplace,22,run_4,955760.0,20.0,198.4,7546.69,10934.31,20.54,450.0,2594.0,974691.0
laplace,22,run_5,955760.0,20.0,198.4,7939.89,10952.11,20.54,1005.0,6701.0,975657.0
laplace,23,run_1,955760.0,20.0,198.4,5046.09,10955.91,20.54,1057.0,2598.0,972819.0
laplace,23,run_2,955760.0,20.0,198.4,8159.1,11044.9,20.54,650.0,4419.0,975614.0
laplace,23,run_3,955760.0,20.0,198.4,7613.7,11024.3,20.54,1068.0,2668.0,975466.0
laplace,23,run_4,955760.0,20.0,198.4,7090.89,10949.11,20.54,710.0,3286.0,974510.0
laplace,23,run_5,955760.0,20.0,198.4,9402.3,11044.7,20.54,2952.0,7811.0,979159.0
laplace,24,run_1,955760.0,20.0,198.4,10482.3,11035.7,20.54,1105.0,6671.0,978383.0
laplace,24,run_2,955760.0,20.0,198.4,9609.89,10951.11,20.54,842.0,7695.0,977163.0
laplace,24,run_3,955760.0,20.0,198.4,8530.89,10956.11,20.54,455.0,2543.0,975702.0
laplace,24,run_4,955760.0,20.0,198.4,9153.1,11062.9,20.54,438.0,3917.0,976414.0
laplace,24,run_5,955760.0,20.0,198.4,11302.29,10965.71,20.54,415.0,5162.0,978443.0
laplace,25,run_1,955760.0,20.0,198.4,8390.9,11066.1,20.54,562.0,4743.0,975779.0
laplace,25,run_2,955760.0,20.0,198.4,8489.3,11060.7,20.54,2466.0,6748.0,977776.0
laplace,25,run_3,955760.0,20.0,198.4,7173.5,11047.5,20.54,1059.0,4519.0,975040.0
laplace,25,run_4,955760.0,20.0,198.4,11498.9,11053.1,20.54,340.0,2854.0,978652.0
laplace,25,run_5,955760.0,20.0,198.4,10621.09,10983.91,20.54,402.0,3319.0,977767.0
laplace,26,run_1,955760.0,20.0,198.4,7804.09,10996.91,20.54,833.0,3295.0,975394.0
laplace,26,run_2,955760.0,20.0,198.4,8367.5,11072.5,20.54,485.0,2886.0,975685.0
laplace,26,run_3,955760.0,20.0,198.4,10267.3,11056.7,20.54,962.0,3380.0,978046.0
laplace,26,run_4,955760.0,20.0,198.4,8648.49,10974.51,20.54,1126.0,3896.0,976509.0
laplace,26,run_5,955760.0,20.0,198.4,9385.09,11000.91,20.54,795.0,3387.0,976941.0
laplace,27,run_1,955760.0,20.0,198.4,12532.3,11075.7,20.54,424.0,5095.0,979792.0
laplace,27,run_2,955760.0,20.0,198.4,10450.9,11086.1,20.54,442.0,3305.0,977739.0
laplace,27,run_3,955760.0,20.0,198.4,11332.29,10984.71,20.54,1022.0,3976.0,979099.0
laplace,27,run_4,955760.0,20.0,198.4,9785.09,10980.91,20.54,3113.0,10685.0,979639.0
laplace,27,run_5,955760.0,20.0,198.4,10095.1,11096.9,20.54,4446.0,12141.0,981398.0
