,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,1,0,0.0,-33.52,2678
1,1,1,1,0,0,1,0.0,-33.52,1003
2,0,1,1,0,0,1,0.0,-30.73,128
3,1,0,0,1,1,0,0.0,-30.729999999999997,147
4,0,0,0,1,1,1,0.0,-25.14,5
5,1,1,1,0,0,0,0.0,-25.14,3
6,1,0,0,1,0,0,0.0,-23.049999999999997,11
7,0,1,1,0,1,1,0.0,-23.049999999999997,10
8,0,1,0,0,0,1,0.0,-20.21,6
9,1,0,1,1,1,0,0.0,-20.209999999999997,3
10,0,1,0,0,1,1,0.0,-19.31,2
11,0,0,1,1,1,0,0.0,-13.02,2
12,1,1,0,0,0,1,0.0,-13.02,1
13,0,0,0,1,0,0,0.0,-10.78,1
