,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,-116.11000000000003,670
1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0.0,-116.10999999999997,875
2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0,-113.29000000000003,235
3,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-113.28999999999998,156
4,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-110.23999999999997,11
5,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-110.24000000000001,345
6,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0.0,-109.3,35
7,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0.0,-109.3,9
8,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.0,-109.17999999999998,219
9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,-109.18,210
10,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0.058823529411764705,-116.10999999999997,19
11,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.058823529411764705,-116.11000000000003,20
12,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0.0,-108.09999999999998,61
13,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,-108.10000000000002,145
14,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0.0,-106.99,39
15,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0.0,-106.98999999999998,5
16,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-106.85999999999997,20
17,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0,-106.86000000000003,52
18,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.058823529411764705,-113.29000000000003,5
19,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-104.97,12
20,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.0,-104.97000000000001,21
21,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,-103.71000000000001,12
22,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.0,-103.71,31
23,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0.0,-103.36000000000001,3
24,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0.0,-103.36,9
25,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0.0,-102.73000000000002,121
26,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0.0,-102.72999999999998,6
27,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.058823529411764705,-103.71,11
28,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.058823529411764705,-103.71000000000001,2
29,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0.0,-101.96,10
30,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0.0,-101.96,35
31,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.058823529411764705,-109.17999999999998,5
32,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.058823529411764705,-109.18,10
33,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0.0,-101.54999999999998,1
34,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0.0,-101.55000000000001,11
35,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0.0,-101.33999999999997,6
36,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0.0,-101.34000000000002,2
37,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0.0,-101.23999999999998,24
38,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0.0,-101.24000000000002,18
39,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0.058823529411764705,-108.09999999999998,4
40,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.058823529411764705,-108.10000000000002,4
41,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0.0,-100.69999999999996,5
42,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0.0,-100.70000000000002,14
43,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-100.47999999999999,2
44,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0.0,-100.48000000000002,7
45,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0.0,-100.39,76
46,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0.0,-100.38999999999997,4
47,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0,-100.26000000000003,22
48,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0.0,-100.26,61
49,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,-100.01000000000002,2
50,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0.0,-99.86000000000001,10
51,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0.0,-99.86,2
52,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0.058823529411764705,-106.85999999999997,2
53,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.058823529411764705,-106.86000000000003,2
