,x_0,x_1,x_10,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,1,1,1,1,0,1,1,0.0,-44.44,1400
1,1,1,1,0,0,0,0,0,1,0,0,0.0,-44.44,460
2,0,0,1,1,1,1,1,1,0,1,1,0.0,-43.76,495
3,1,1,0,0,0,0,0,0,1,0,0,0.0,-43.76,583
4,0,0,0,1,0,1,1,1,0,1,1,0.0,-41.209999999999994,229
5,1,1,1,0,1,0,0,0,1,0,0,0.0,-41.21,51
6,0,0,1,1,0,1,1,1,0,1,1,0.0,-40.649999999999984,77
7,1,1,0,0,1,0,0,0,1,0,0,0.0,-40.65,69
8,0,1,0,0,1,0,0,0,0,0,0,0.0,-37.18,14
9,1,0,1,1,0,1,1,1,1,1,1,0.0,-37.17999999999999,30
10,0,0,0,1,1,0,1,1,0,0,1,0.0,-36.16,179
11,1,1,1,0,0,1,0,0,1,1,0,0.0,-36.16,46
12,0,0,0,1,1,1,0,1,0,1,1,0.0,-35.22,21
13,1,1,1,0,0,0,1,0,1,0,0,0.0,-35.22,11
14,0,0,0,1,1,1,1,1,0,0,1,0.0,-34.79,48
15,1,1,1,0,0,0,0,0,1,1,0,0.0,-34.79,27
16,0,0,1,1,1,0,1,1,0,0,1,0.0,-34.49999999999999,41
17,1,1,0,0,0,1,0,0,1,1,0,0.0,-34.5,39
18,1,0,1,1,0,1,1,0,1,1,0,0.0,-33.989999999999995,6
19,0,1,0,0,1,0,0,1,0,0,1,0.0,-33.989999999999995,14
20,0,0,1,1,1,1,1,1,0,0,1,0.0,-33.169999999999995,12
21,1,1,0,0,0,0,0,0,1,1,0,0.0,-33.17,22
22,0,0,0,0,1,1,0,1,0,1,1,0.0,-30.56,2
23,1,1,1,1,0,0,1,0,1,0,0,0.0,-30.560000000000002,2
24,0,0,0,1,1,0,1,1,0,1,1,0.0,-30.35,14
25,1,1,1,0,0,1,0,0,1,0,0,0.0,-30.349999999999994,2
26,1,1,0,1,0,0,0,0,1,0,0,0.0,-30.34,2
27,0,0,1,0,1,1,1,1,0,1,1,0.0,-30.339999999999996,7
28,0,0,0,1,0,1,1,1,0,0,1,0.0,-30.14,5
29,1,1,1,0,1,0,0,0,1,1,0,0.0,-30.139999999999997,3
30,1,1,0,1,0,1,0,0,1,1,0,0.0,-30.1,4
31,0,0,1,0,1,0,1,1,0,0,1,0.0,-30.099999999999994,1
32,1,0,1,1,0,0,1,0,1,1,0,0.0,-29.76,1
33,0,0,0,1,1,0,1,1,0,0,0,0.09090909090909091,-19.98,1
34,1,1,1,0,0,1,0,0,1,1,1,0.09090909090909091,-19.980000000000008,1
35,0,0,1,1,1,0,1,1,0,1,1,0.0,-29.629999999999995,3
36,1,1,0,0,0,1,0,0,1,0,0,0.0,-29.63,1
37,0,1,1,0,1,0,0,0,0,0,0,0.0,-29.6,1
38,1,0,0,1,0,1,1,1,1,1,1,0.0,-29.600000000000005,6
39,1,0,0,1,0,1,1,1,0,1,1,0.0,-29.52000000000001,7
40,0,0,0,1,1,0,1,1,0,0,1,0.09090909090909091,-36.16,2
41,0,1,0,1,1,1,0,1,0,1,1,0.0,-28.890000000000004,4
42,1,0,1,0,0,0,1,0,1,0,0,0.0,-28.89,3
43,0,0,1,1,0,1,1,1,0,0,1,0.0,-28.639999999999993,1
44,1,1,0,0,1,0,0,0,1,1,0,0.0,-28.639999999999997,4
45,0,0,0,1,1,1,1,1,0,1,1,0.09090909090909091,-44.44,1
46,0,0,0,0,1,0,1,1,0,0,1,0.0,-28.519999999999996,4
47,1,1,1,1,0,1,0,0,1,1,0,0.0,-28.52,1
48,0,0,0,1,1,1,1,1,0,1,1,0.09090909090909091,-44.44,1
49,0,1,0,0,1,1,0,1,0,1,1,0.0,-27.990000000000002,1
50,1,1,0,0,0,1,0,0,1,1,1,0.09090909090909091,-22.100000000000005,1
51,0,0,1,1,1,0,1,1,0,0,0,0.09090909090909091,-22.1,2
52,1,1,0,1,1,0,0,0,1,0,0,0.0,-27.89,2
53,0,0,1,0,0,1,1,1,0,1,1,0.0,-27.89,1
54,0,0,0,0,1,1,1,1,0,1,1,0.0,-27.780000000000005,4
55,0,0,0,1,1,0,1,1,0,0,1,0.09090909090909091,-36.16,2
56,1,1,0,0,0,1,0,0,1,1,1,0.09090909090909091,-22.100000000000005,1
57,0,1,0,0,1,0,0,0,1,0,0,0.0,-26.519999999999996,1
58,0,0,0,1,1,1,1,1,0,1,1,0.09090909090909091,-44.44,3
59,1,1,0,0,1,0,0,0,1,0,0,0.09090909090909091,-40.65,1
60,1,1,0,0,0,1,0,1,1,1,1,0.0,-25.749999999999996,2
61,1,0,0,1,1,1,1,1,0,1,1,0.0,-24.85000000000002,3
62,0,1,1,0,0,0,0,0,1,0,0,0.0,-24.85,2
63,1,1,1,1,0,0,0,0,1,1,0,0.0,-24.01,1
64,1,0,0,1,0,1,0,1,1,1,1,0.0,-23.920000000000005,1
65,1,1,1,1,1,0,1,0,1,0,0,0.0,-22.669999999999998,1
66,0,0,0,1,1,1,1,1,0,0,1,0.09090909090909091,-34.79,1
