,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,1,0.0,-75.72999999999999,1106
1,1,0,0,1,1,0,0.0,-75.73,1729
2,0,0,0,1,1,0,0.0,-73.52,592
3,1,1,1,0,0,1,0.0,-73.52,395
4,0,0,0,1,1,1,0.0,-70.14,24
5,1,1,1,0,0,0,0.0,-70.14,91
6,0,1,0,0,1,1,0.0,-64.31,20
7,1,0,1,1,0,0,0.0,-64.31,12
8,0,1,1,0,1,1,0.0,-63.04999999999998,7
9,1,0,0,1,0,0,0.0,-63.050000000000004,9
10,0,1,0,0,0,1,0.0,-60.209999999999994,1
11,1,0,1,1,1,0,0.0,-60.209999999999994,2
12,0,1,1,0,1,0,0.0,-58.329999999999984,4
13,1,1,0,0,0,1,0.0,-58.019999999999996,1
14,1,0,1,0,0,1,0.0,-55.09,1
15,0,1,0,1,1,0,0.0,-55.09,1
16,0,1,1,0,0,1,0.16666666666666666,-75.72999999999999,1
17,0,1,0,0,1,0,0.0,-48.65,1
18,0,0,0,1,0,1,0.0,-46.84,1
19,1,1,1,0,1,0,0.0,-46.84,1
20,0,0,0,1,1,0,0.16666666666666666,-73.52,1
