,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0.0,-100.88000000000002,316
1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0.0,-100.88,256
2,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-98.69,214
3,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-98.69000000000001,176
4,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0.0,-96.57999999999998,92
5,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-96.57999999999998,174
6,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0.0,-95.71000000000001,85
7,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0.0,-95.71000000000001,57
8,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0.0625,-84.24999999999997,262
9,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0.0625,-84.24999999999997,151
10,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0.0,-94.63999999999999,106
11,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0.0,-94.63999999999996,60
12,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0.0,-94.00999999999999,34
13,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0.0,-94.01000000000002,18
14,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-93.91999999999999,76
15,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-93.91999999999999,108
16,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-93.41999999999999,77
17,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-93.42000000000002,59
18,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0.0,-93.21999999999998,18
19,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0.0,-93.22000000000001,35
20,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0.0,-92.83999999999999,76
21,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0.0,-92.84,45
22,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-92.39999999999998,22
23,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-92.4,78
24,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-89.75,65
25,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0.0,-89.74999999999999,30
26,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-89.52,13
27,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-89.52,2
28,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0.0,-89.22999999999999,22
29,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0.0,-89.23,4
30,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-89.10999999999997,12
31,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-89.10999999999999,5
32,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0.0,-88.72,23
33,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0.0,-88.72,19
34,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0.0,-88.04000000000003,9
35,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.0,-88.03999999999999,10
36,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0.0,-87.63,2
37,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0.0,-87.63,10
38,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0.0,-87.38,12
39,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-87.37999999999997,16
