,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0.0,-108.52999999999997,73
1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0.0,-108.52999999999997,954
2,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0.058823529411764705,-108.52999999999997,604
3,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0.058823529411764705,-108.52999999999997,29
4,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0.0,-106.44999999999999,28
5,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0.0,-106.45,60
6,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-106.34999999999997,47
7,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-106.35,414
8,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0.058823529411764705,-106.34999999999997,17
9,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0.058823529411764705,-106.35,257
10,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0.0,-104.92,96
11,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0.0,-104.91999999999999,54
12,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0.0,-104.77000000000001,25
13,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0.0,-104.77000000000002,90
14,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0.0,-101.67000000000002,62
15,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0.0,-101.66999999999993,16
16,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0.0,-101.53999999999999,35
17,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0.0,-101.54,26
18,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0.0,-98.58000000000001,10
19,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0.0,-98.58000000000001,10
20,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0.058823529411764705,-108.52999999999997,6
21,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0.058823529411764705,-108.52999999999997,1
22,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0.0,-97.38999999999999,29
23,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0.0,-97.39000000000001,9
24,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0.0,-96.36000000000001,13
25,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.0,-96.35999999999999,14
26,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0.058823529411764705,-96.36000000000001,6
27,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.058823529411764705,-96.35999999999999,1
28,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0.0,-95.99000000000001,1
29,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0.0,-95.99,7
30,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0.058823529411764705,-106.35,1
31,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-94.99,7
32,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0,-94.99000000000004,246
33,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0.0,-94.8,3
34,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0.0,-94.80000000000001,1
35,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0.0,-94.69000000000001,9
36,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,-94.69000000000001,4
37,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0.0,-94.42999999999999,14
38,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0.0,-94.43,3
39,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,-94.24,4
40,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0.0,-94.24000000000001,38
41,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,-94.15,7
42,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.0,-94.15,11
43,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0.058823529411764705,-106.35,4
44,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0.0,-93.46000000000002,1
45,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0.0,-93.46,4
46,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-93.17,2
47,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-93.16999999999999,37
48,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0.0,-93.13,2
49,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0.058823529411764705,-93.17,1
50,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.058823529411764705,-93.16999999999999,18
51,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0.0,-92.39,1
52,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0.0,-92.38999999999999,1
53,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0.0,-91.56,6
54,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0.0,-91.55999999999999,7
55,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0.058823529411764705,-108.52999999999997,1
56,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0.0,-90.83,7
57,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0.0,-90.82999999999996,3
58,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.0,-90.78999999999999,21
59,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0.0,-90.78999999999998,1
60,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0.0,-90.74,3
61,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0.0,-90.74000000000001,3
62,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.058823529411764705,-90.78999999999999,15
63,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0.058823529411764705,-90.78999999999998,1
64,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0.0,-90.7,1
65,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0.058823529411764705,-90.74000000000001,1
66,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0.0,-90.3,1
67,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0.0,-90.30000000000001,1
68,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0.0,-89.91000000000001,2
69,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0.0,-89.91000000000001,9
70,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0.0,-89.87,4
71,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0.0,-89.86999999999998,2
72,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0.0,-89.72,3
73,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0.0,-89.66,1
74,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0.0,-89.65999999999998,4
