,x_0,x_1,x_10,x_11,x_12,x_13,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0.0,-97.05999999999999,1019
1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0,-97.06,1323
2,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0.0,-92.40999999999998,164
3,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.0,-92.41,371
4,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-90.60000000000001,96
5,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-90.6,521
6,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0,-84.26,69
7,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0.0,-84.25999999999998,37
8,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0.0,-83.38999999999999,7
9,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0.0,-83.38999999999999,14
10,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0.0,-82.74999999999997,10
11,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0.0,-82.75,34
12,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-82.69000000000003,8
13,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0,-82.69,48
14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0.0,-82.02,15
15,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0.0,-82.02,4
16,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-81.41000000000001,18
17,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-81.41000000000001,76
18,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-80.82,39
19,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0.0,-80.82,5
20,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.07142857142857142,-97.06,2
21,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0.07142857142857142,-81.41000000000001,1
22,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0.07142857142857142,-81.41000000000001,9
23,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0.07142857142857142,-77.97,6
24,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.07142857142857142,-77.97000000000001,17
25,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0.0,-77.97,3
26,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.0,-77.97000000000001,12
27,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0.07142857142857142,-70.99,4
28,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.07142857142857142,-70.99000000000001,2
29,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0.0,-75.2,2
30,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-74.41999999999999,1
31,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-74.41999999999997,3
32,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0,-71.99,2
33,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0.07142857142857142,-97.05999999999999,1
34,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.07142857142857142,-92.41,1
35,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.0,-70.86,1
36,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0.0,-70.85999999999999,1
37,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0.0,-69.71,2
38,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0.0,-69.71,8
39,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0.0,-69.63000000000001,1
40,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0.0,-69.59,1
41,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0.0,-69.31999999999996,2
42,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0,-69.32000000000001,5
43,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0.07142857142857142,-60.70000000000001,2
44,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0.07142857142857142,-69.63000000000001,1
45,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,-68.67000000000002,1
46,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-67.89,1
47,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0,-67.88999999999999,5
48,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.07142857142857142,-97.06,1
49,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0.0,-67.41000000000001,1
50,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0.0,-67.41,1
51,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0.0,-67.19999999999997,1
52,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0,-67.20000000000002,1
53,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0.14285714285714285,-60.70000000000001,1
54,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.07142857142857142,-65.05000000000001,2
55,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.07142857142857142,-92.41,1
56,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0,-65.05000000000001,1
57,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0.07142857142857142,-82.74999999999997,1
58,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0.0,-63.269999999999996,1
59,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0.07142857142857142,-90.60000000000001,1
60,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.07142857142857142,-92.41,1
61,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0.0,-60.05999999999998,1
62,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0.0,-59.13000000000001,2
63,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-56.03999999999999,1
64,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0.07142857142857142,-59.27000000000001,1
65,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0.07142857142857142,-81.41000000000001,1
66,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0.0,-51.93999999999999,1
67,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-50.89999999999999,1
68,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0.07142857142857142,-81.41000000000001,1
69,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0.0,-42.280000000000015,1
70,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0.07142857142857142,-80.82,1
