,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,1,0,0.0,-16.8,1462
1,1,0,1,0,0,1,0.0,-16.8,1168
2,0,0,1,0,0,1,0.0,-15.79,238
3,1,1,0,1,1,0,0.0,-15.79,816
4,1,0,1,0,1,1,0.0,-12.670000000000003,45
5,0,1,0,1,0,0,0.0,-12.670000000000002,40
6,1,0,0,0,0,1,0.0,-12.600000000000001,75
7,0,1,1,1,1,0,0.0,-12.600000000000003,34
8,1,0,0,0,1,1,0.0,-12.230000000000002,75
9,0,1,1,1,0,0,0.0,-12.230000000000002,23
10,1,1,0,1,0,0,0.0,-10.579999999999998,6
11,0,0,1,0,1,1,0.0,-10.58,6
12,1,1,1,1,1,0,0.0,-6.01,3
13,0,0,0,0,0,1,0.0,-6.01,2
14,1,1,0,1,1,1,0.0,-3.659999999999998,2
15,1,0,0,0,1,0,0.0,-2.72,1
16,0,1,1,1,0,1,0.0,-2.7200000000000024,1
17,0,1,1,1,1,1,0.0,-0.8100000000000036,1
18,0,0,1,0,1,0,0.0,-0.7300000000000004,1
19,0,1,0,1,1,0,0.16666666666666666,-16.8,1
