,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,1,1,0,0,1,1,0.0,-191.56999999999994,1392
1,1,0,1,1,0,0,1,1,0,0,0.0,-191.57000000000002,1307
2,1,0,1,1,0,0,1,0,0,0,0.0,-186.82,286
3,0,1,0,0,1,1,0,1,1,1,0.0,-186.81999999999996,317
4,1,0,1,1,0,0,1,0,1,0,0.0,-182.75999999999996,190
5,0,1,0,0,1,1,0,1,0,1,0.0,-182.76,41
6,0,1,0,0,1,0,0,1,1,1,0.0,-181.57,42
7,1,0,1,1,0,1,1,0,0,0,0.0,-181.57000000000002,52
8,1,0,0,1,0,0,1,0,1,0,0.0,-178.78,90
9,0,1,1,0,1,1,0,1,0,1,0.0,-178.78,35
10,1,0,1,1,1,0,1,0,0,0,0.0,-178.52,16
11,0,1,0,0,0,1,0,1,1,1,0.0,-178.51999999999998,25
12,1,0,0,1,0,1,1,0,1,0,0.0,-176.54999999999998,36
13,0,1,1,0,1,0,0,1,0,1,0.0,-176.55,15
14,0,1,0,0,1,0,0,0,1,1,0.0,-176.33999999999997,8
15,1,0,1,1,0,1,1,1,0,0,0.0,-176.34000000000003,9
16,0,1,0,0,1,1,0,0,1,0,0.0,-175.73999999999995,15
17,1,0,1,1,0,0,1,1,0,1,0.0,-175.74,15
18,0,1,0,0,1,1,0,1,1,0,0.0,-175.24999999999997,9
19,1,0,1,1,0,0,1,0,0,1,0.0,-175.24999999999997,6
20,0,1,0,0,1,0,0,1,0,1,0.0,-174.39000000000001,1
21,1,0,1,1,0,1,1,0,1,0,0.0,-174.39000000000001,16
22,0,1,0,0,1,1,0,0,0,1,0.0,-173.60999999999996,4
23,1,0,1,1,0,0,1,1,1,0,0.0,-173.61,18
24,1,1,0,0,1,0,0,0,1,1,0.0,-172.92999999999998,6
25,0,0,1,1,0,1,1,1,0,0,0.0,-172.93,3
26,1,1,0,0,1,1,0,0,1,1,0.0,-172.37999999999994,3
27,0,0,1,1,0,0,1,1,0,0,0.0,-172.38000000000002,2
28,1,0,1,1,1,0,0,0,0,1,0.0,-170.69999999999996,2
29,0,1,0,0,0,1,1,1,1,0,0.0,-170.70000000000002,1
30,1,0,1,1,0,0,1,1,0,0,0.1,-191.57000000000002,2
31,0,0,1,1,0,0,1,1,1,0,0.0,-168.7,3
32,0,1,0,0,1,1,0,0,1,1,0.1,-191.56999999999994,1
33,0,1,0,0,0,1,0,1,1,0,0.0,-166.23,1
34,0,0,1,1,0,1,1,1,1,0,0.0,-166.13,2
35,1,0,1,1,0,0,1,0,1,1,0.0,-164.56999999999994,2
36,1,0,0,1,0,1,1,0,0,0,0.0,-164.37,3
37,1,1,1,0,1,0,0,0,0,1,0.0,-163.37000000000003,1
38,0,1,1,0,1,1,0,0,1,1,0.0,-163.32999999999998,1
39,1,0,0,1,0,0,1,1,0,0,0.0,-163.33000000000004,2
40,0,0,1,0,1,0,0,1,1,1,0.0,-162.98,1
41,1,0,1,0,0,0,1,1,0,1,0.0,-161.76000000000002,2
42,0,0,1,1,1,0,1,1,0,0,0.0,-161.42000000000002,1
43,0,0,0,1,0,0,1,1,1,0,0.0,-159.79999999999998,1
44,1,0,0,0,0,1,1,1,1,0,0.0,-159.55999999999997,1
45,1,0,1,0,0,0,1,1,0,0,0.0,-158.97000000000003,1
46,1,0,0,1,0,0,1,0,1,1,0.0,-158.82999999999998,1
47,1,0,1,0,1,0,0,1,0,1,0.0,-158.27,2
48,0,1,0,0,1,1,0,0,1,1,0.1,-191.56999999999994,1
49,1,0,1,1,0,0,1,1,0,0,0.1,-191.57000000000002,1
50,0,0,1,0,1,1,0,1,1,0,0.0,-155.9,1
51,0,1,0,0,0,1,0,0,1,1,0.0,-155.54999999999998,2
52,0,1,1,0,1,0,0,0,1,1,0.0,-154.24,1
53,0,0,0,1,0,1,1,0,1,0,0.0,-153.14000000000001,1
54,0,0,1,1,1,1,1,1,0,0,0.1,-149.41,1
55,0,1,0,0,1,1,0,0,1,1,0.1,-191.56999999999994,1
56,0,1,1,0,1,0,0,1,0,1,0.1,-176.55,1
