,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,0,1,1,0.0,-22.709999999999997,2243
1,0,1,0,0,1,0,0,0.0,-22.71,596
2,0,1,0,0,0,0,0,0.0,-21.09,183
3,1,0,1,1,1,1,1,0.0,-21.089999999999993,596
4,1,0,0,1,0,1,1,0.0,-18.93,193
5,0,1,1,0,1,0,0,0.0,-18.93,61
6,1,0,1,0,0,0,0,0.0,-16.73,47
7,0,1,0,1,1,1,1,0.0,-16.729999999999993,24
8,0,1,0,0,1,1,0,0.0,-14.76,5
9,1,0,1,1,0,0,1,0.0,-14.759999999999998,27
10,1,1,0,0,0,0,0,0.0,-11.420000000000002,4
11,0,0,1,1,1,1,1,0.0,-11.419999999999998,5
12,1,0,1,0,0,0,1,0.0,-9.61,2
13,0,0,1,0,1,0,0,0.0,-9.440000000000001,1
14,1,1,0,1,0,1,1,0.0,-9.43999999999999,5
15,1,1,0,1,1,1,1,0.0,-5.560000000000004,1
16,1,0,1,0,1,0,0,0.0,-5.550000000000001,1
17,1,0,0,1,0,0,1,0.0,-4.599999999999998,1
18,1,1,1,0,1,0,0,0.0,-4.1800000000000015,1
19,1,0,1,1,1,0,1,0.0,-3.100000000000002,1
20,0,0,0,0,0,0,0,0.14285714285714285,0.0,1
21,1,0,1,1,0,1,1,0.14285714285714285,-22.709999999999997,1
22,1,0,1,1,1,1,0,0.0,4.890000000000004,1
