,x_0,x_1,x_10,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,1,0,1,1,1,1,0.0,-68.55000000000001,638
1,1,0,0,1,1,0,1,0,0,0,0,0.0,-68.55,1109
2,1,0,1,1,1,0,1,0,0,0,0,0.0,-64.64999999999999,418
3,0,1,0,0,0,1,0,1,1,1,1,0.0,-64.65,136
4,0,0,0,1,1,1,1,0,1,0,0,0.0,-60.53,90
5,1,1,1,0,0,0,0,1,0,1,1,0.0,-60.52999999999999,329
6,1,0,0,1,1,0,0,0,1,0,0,0.0,-59.87999999999999,37
7,0,1,1,0,0,1,1,1,0,1,1,0.0,-59.87999999999998,317
8,0,0,0,1,1,0,1,0,1,0,0,0.0,-58.849999999999994,74
9,1,1,1,0,0,1,0,1,0,1,1,0.0,-58.849999999999994,127
10,0,0,0,1,1,0,0,0,1,0,0,0.0,-57.87999999999999,16
11,1,1,1,0,0,1,1,1,0,1,1,0.0,-57.87999999999998,212
12,0,0,1,1,1,1,1,0,1,0,0,0.0,-57.74999999999999,22
13,1,1,0,0,0,0,0,1,0,1,1,0.0,-57.75,108
14,0,0,1,1,1,1,1,0,0,0,0,0.0,-57.32999999999999,26
15,1,1,0,0,0,0,0,1,1,1,1,0.0,-57.33,15
16,0,1,1,0,0,1,1,1,1,1,1,0.0,-56.079999999999984,28
17,1,0,0,1,1,0,0,0,0,0,0,0.0,-56.08,13
18,1,0,0,1,1,1,1,0,0,0,0,0.0,-55.15,15
19,0,1,1,0,0,0,0,1,1,1,1,0.0,-55.14999999999999,10
20,1,0,0,1,1,0,1,0,1,0,0,0.0,-55.06999999999999,5
21,0,1,1,0,0,1,0,1,0,1,1,0.0,-55.06999999999999,16
22,1,0,0,1,1,0,1,0,0,0,1,0.0,-54.71,47
23,0,1,1,0,0,1,0,1,1,1,0,0.0,-54.709999999999994,18
24,1,0,1,1,1,1,1,0,0,0,0,0.0,-54.089999999999996,11
25,0,1,0,0,0,0,0,1,1,1,1,0.0,-54.09,3
26,0,1,0,0,0,1,0,0,1,1,1,0.0,-53.91,3
27,1,0,1,1,1,0,1,1,0,0,0,0.0,-53.90999999999999,3
28,0,0,1,1,1,0,1,0,1,0,0,0.0,-53.22999999999999,2
29,1,1,0,0,0,1,0,1,0,1,1,0.0,-53.230000000000004,13
30,1,1,1,1,0,1,1,1,0,1,1,0.0,-53.21000000000001,18
31,0,0,0,0,1,0,0,0,1,0,0,0.0,-53.209999999999994,7
32,0,1,1,1,0,1,1,1,1,1,1,0.0,-53.19,5
33,1,0,0,0,1,0,0,0,0,0,0,0.0,-53.19,5
34,0,0,1,1,1,0,1,0,0,0,0,0.0,-52.82999999999999,6
35,1,1,0,0,0,1,0,1,1,1,1,0.0,-52.83,1
36,1,0,1,1,1,0,1,0,0,0,1,0.0,-51.10999999999999,33
37,0,1,0,0,0,1,0,1,1,1,0,0.0,-51.11,4
38,1,0,0,0,1,0,1,0,0,0,0,0.0,-50.76,7
39,1,0,0,0,0,0,0,1,1,1,1,0.0,-50.620000000000005,1
40,0,1,1,1,1,1,1,0,0,0,0,0.0,-50.62,3
41,1,1,1,0,0,0,1,1,0,1,1,0.0,-50.27999999999999,5
42,0,1,1,1,0,1,1,0,1,1,1,0.0,-50.08999999999999,4
43,1,0,0,0,1,0,0,1,0,0,0,0.0,-50.089999999999996,1
44,1,1,0,0,0,1,1,1,0,1,1,0.0,-48.879999999999995,5
45,0,1,0,0,0,1,1,1,1,1,1,0.0,-48.8,2
46,1,0,0,1,1,0,1,1,0,0,0,0.0,-48.029999999999994,2
47,0,1,1,0,0,1,1,0,0,1,1,0.0,-47.3,2
48,1,0,0,1,1,0,1,0,0,0,1,0.09090909090909091,-54.71,1
49,1,0,0,0,0,0,0,1,0,1,1,0.0,-46.7,1
50,0,1,1,0,0,1,0,1,1,1,1,0.09090909090909091,-68.55000000000001,1
51,0,1,0,0,0,1,1,0,1,1,1,0.0,-46.120000000000005,1
52,1,1,0,0,0,0,1,1,0,1,1,0.0,-44.12,1
53,1,0,1,1,1,0,1,0,0,0,1,0.09090909090909091,-51.10999999999999,1
54,0,1,0,1,0,1,1,0,1,1,1,0.0,-43.510000000000005,1
55,1,0,0,0,1,0,1,0,0,0,1,0.0,-43.300000000000004,1
56,1,1,1,0,0,1,0,1,0,1,1,0.09090909090909091,-58.849999999999994,1
57,0,1,0,0,0,1,1,1,0,1,1,0.0,-42.22,1
58,0,1,1,0,0,0,0,1,0,1,1,0.0,-41.69,1
59,0,1,0,0,0,1,1,1,0,1,1,0.09090909090909091,-42.22,1
60,1,0,0,1,1,0,1,1,0,0,0,0.09090909090909091,-48.029999999999994,2
61,1,0,1,0,0,0,0,1,0,1,1,0.0,-39.44,2
62,0,1,0,0,0,1,1,0,0,1,1,0.0,-39.42,1
63,1,1,1,0,1,0,0,1,0,1,1,0.0,-38.0,1
64,0,1,1,0,0,1,1,1,1,1,0,0.0,-36.499999999999986,2
65,1,1,0,1,0,1,1,1,0,1,1,0.0,-35.13,1
66,0,0,0,0,1,1,1,0,1,0,0,0.0,-33.58,1
67,1,1,1,1,0,0,0,1,0,1,1,0.0,-33.58,1
68,1,0,1,1,1,0,1,0,0,0,0,0.09090909090909091,-64.64999999999999,1
69,0,0,1,1,1,0,1,0,0,0,1,0.0,-26.629999999999995,1
70,0,1,1,0,0,1,0,1,1,1,1,0.09090909090909091,-68.55000000000001,1
71,1,0,0,1,1,0,1,0,0,0,0,0.09090909090909091,-68.55,1
72,1,0,1,1,1,0,1,0,0,0,0,0.09090909090909091,-64.64999999999999,1
