,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,0,1,0,0.0,-112.98000000000002,1833
1,0,1,0,1,0,1,0,1,0.0,-112.98,1996
2,0,1,0,1,1,1,0,1,0.0,-101.59000000000002,6
3,1,0,1,0,0,0,1,0,0.0,-101.59,10
4,1,0,0,1,1,0,1,0,0.0,-100.21,54
5,0,1,1,0,0,1,0,1,0.0,-100.21,18
6,0,1,0,1,1,0,0,1,0.0,-99.94000000000003,8
7,1,0,1,0,0,1,1,0,0.0,-99.94000000000001,16
8,0,1,0,0,0,1,0,1,0.0,-99.19999999999999,7
9,1,0,1,1,1,0,1,0,0.0,-99.2,24
10,1,0,0,0,1,0,1,0,0.0,-97.61,7
11,0,1,1,1,0,1,0,1,0.0,-97.60999999999999,5
12,1,0,1,0,1,1,1,0,0.125,-91.97000000000001,1
13,0,0,0,1,1,1,0,1,0.0,-92.48,1
14,1,0,0,1,1,0,1,0,0.125,-100.21,1
15,1,1,0,1,1,0,1,0,0.125,-89.37999999999998,1
16,0,1,1,0,0,0,0,1,0.0,-87.39999999999999,1
17,1,0,1,0,1,0,1,0,0.125,-112.98000000000002,1
18,0,1,0,1,1,1,0,0,0.0,-85.07000000000002,2
19,0,1,0,1,0,1,0,1,0.125,-112.98,1
20,0,0,1,0,1,0,1,0,0.0,-83.22000000000001,1
21,0,1,0,1,1,0,0,0,0.0,-82.50000000000001,1
22,0,0,0,1,1,1,1,0,0.0,-80.58,1
23,1,0,1,0,1,0,1,0,0.125,-112.98000000000002,1
24,0,1,0,1,0,1,0,0,0.125,-73.92,1
25,1,0,1,0,1,1,1,0,0.25,-91.97000000000001,1
26,1,0,1,1,0,0,0,1,0.0,-67.53,1
