,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-470.2399999999999,548
1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-470.2400000000001,345
2,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0.0,-469.30000000000007,111
3,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0.0,-469.29999999999984,232
4,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0.0,-463.3599999999998,58
5,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0.0,-463.36,42
6,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0.0,-462.72999999999985,17
7,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0.0,-462.73,77
8,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0.0,-461.95999999999987,39
9,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0.0,-461.96,60
10,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0.0,-461.5499999999999,25
11,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0.0,-461.55000000000007,10
12,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-460.4799999999999,90
13,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0.0,-460.47999999999996,171
14,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0.0,-459.85999999999973,12
15,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0.0,-459.8599999999999,27
16,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-457.98999999999984,15
17,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-457.99,15
