,x_0,x_1,x_10,x_11,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-225.06000000000003,527
1,1,0,0,1,0,0,1,0,1,0,0,1,0.0,-225.05999999999997,317
2,1,0,0,0,1,1,1,0,1,0,0,0,0.0,-222.01999999999992,89
3,0,1,1,1,0,0,0,1,0,1,1,1,0.0,-222.02,228
4,0,1,1,0,1,0,0,1,0,1,1,0,0.0,-221.83,127
5,1,0,0,1,0,1,1,0,1,0,0,1,0.0,-221.83,224
6,1,0,0,0,1,1,0,0,1,0,1,0,0.0,-221.72000000000003,148
7,0,1,1,1,0,0,1,1,0,1,0,1,0.0,-221.72,235
8,0,0,1,1,0,0,1,1,0,1,0,1,0.0,-220.78,201
9,1,1,0,0,1,1,0,0,1,0,1,0,0.0,-220.77999999999997,71
10,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-217.95999999999998,683
11,1,0,1,0,1,0,0,1,1,0,1,0,0.0,-217.96,83
12,0,1,1,1,0,0,0,1,1,1,1,0,0.0,-215.35999999999999,32
13,1,0,0,0,1,1,1,0,0,0,0,1,0.0,-215.36,22
14,0,1,1,1,0,0,0,1,1,1,1,1,0.0,-215.28,20
15,1,0,0,0,1,1,1,0,0,0,0,0,0.0,-215.27999999999997,15
16,0,1,1,1,0,0,0,1,0,1,0,1,0.0,-215.02000000000007,31
17,1,0,0,0,1,1,1,0,1,0,1,0,0.0,-215.01999999999992,20
18,0,1,0,1,0,1,0,0,0,1,1,1,0.0,-214.97999999999996,115
19,1,0,1,0,1,0,1,1,1,0,0,0,0.0,-214.98000000000002,6
20,0,1,1,0,0,0,0,1,0,1,1,1,0.0,-214.53000000000003,42
21,1,0,0,1,1,1,1,0,1,0,0,0,0.0,-214.5299999999999,13
22,1,0,0,1,1,1,0,0,1,0,1,0,0.0,-213.98999999999998,24
23,0,1,1,0,0,0,1,1,0,1,0,1,0.0,-213.99,47
24,1,1,0,0,1,1,0,0,0,0,1,0,0.0,-213.77999999999997,11
25,0,0,1,1,0,0,1,1,1,1,0,1,0.0,-213.78,24
26,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-212.38000000000002,216
27,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-212.38,24
28,0,1,1,1,0,1,0,0,0,1,1,1,0.0,-211.60000000000005,42
29,1,0,0,0,1,0,1,1,1,0,0,0,0.0,-211.6,3
30,0,1,1,0,0,0,0,1,1,1,1,0,0.0,-211.35,3
31,1,0,0,1,1,1,1,0,0,0,0,1,0.0,-211.35,6
32,1,0,0,1,0,1,1,0,1,0,0,0,0.0,-211.27,12
33,0,1,1,0,1,0,0,1,0,1,1,1,0.0,-211.27,15
34,0,1,1,1,1,1,0,0,0,1,1,0,0.0,-210.76000000000002,11
35,1,0,0,0,0,0,1,1,1,0,0,1,0.0,-210.76000000000002,2
36,1,1,0,1,1,1,0,0,1,0,1,0,0.0,-210.42999999999992,4
37,0,0,1,0,0,0,1,1,0,1,0,1,0.0,-210.42999999999998,8
38,1,1,0,0,1,1,0,0,0,0,1,1,0.0,-210.08000000000004,14
39,0,0,1,1,0,0,1,1,1,1,0,0,0.0,-210.08,9
40,1,0,0,1,0,1,1,0,0,0,0,1,0.0,-209.82999999999996,4
41,0,1,1,0,1,0,0,1,1,1,1,0,0.0,-209.83,1
42,1,0,1,0,0,0,1,1,1,0,0,0,0.0,-207.64000000000004,1
43,0,1,0,1,1,1,0,0,0,1,1,1,0.0,-207.63999999999993,7
44,0,1,1,0,0,0,0,1,1,1,1,1,0.0,-207.09,3
45,1,0,0,1,1,1,1,0,0,0,0,0,0.0,-207.08999999999995,2
46,0,1,1,1,1,1,0,1,0,1,1,0,0.0,-206.63000000000002,3
47,1,0,0,0,0,1,1,0,1,0,0,1,0.0,-206.52,3
48,0,1,1,1,1,0,0,1,0,1,1,0,0.0,-206.52,2
49,0,0,1,0,1,0,1,1,0,1,0,0,0.0,-206.45,7
50,1,1,0,1,0,1,0,0,1,0,1,1,0.0,-206.44999999999996,9
