,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,0,0.0,-75.73,1012
1,0,1,1,0,0,1,0.0,-75.72999999999999,1977
2,1,1,1,0,0,1,0.0,-73.52,339
3,0,0,0,1,1,0,0.0,-73.52,425
4,1,1,1,0,0,0,0.0,-70.14,79
5,0,0,0,1,1,1,0.0,-70.14,108
6,1,0,1,1,0,0,0.0,-64.31,8
7,0,1,0,0,1,1,0.0,-64.31,20
8,1,0,0,1,0,0,0.0,-63.050000000000004,4
9,0,1,1,0,1,1,0.0,-63.04999999999998,8
10,0,1,0,0,0,1,0.0,-60.209999999999994,4
11,1,0,1,1,1,0,0.0,-60.209999999999994,4
12,1,0,0,1,0,1,0.0,-58.33000000000001,2
13,0,1,1,0,1,0,0.0,-58.329999999999984,1
14,1,1,0,0,0,1,0.0,-58.019999999999996,1
15,0,0,1,1,1,0,0.0,-58.019999999999996,2
16,1,0,0,1,1,1,0.0,-56.57000000000001,1
17,0,1,1,0,0,0,0.0,-56.56999999999999,2
18,1,0,1,0,0,0,0.0,-54.37,2
19,0,1,0,0,1,0,0.0,-48.65,1
