,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,1,0,0,0.0,-28.19,1987
1,1,0,0,0,0,1,1,0.0,-28.19,990
2,1,0,0,0,1,1,1,0.0,-27.01,566
3,0,1,1,1,0,0,0,0.0,-27.01,324
4,1,1,1,1,1,0,0,0.0,-22.430000000000003,54
5,0,0,0,0,0,1,1,0.0,-22.43,27
6,0,0,0,0,1,1,1,0.0,-20.17,9
7,1,1,1,1,0,0,0,0.0,-20.17,4
8,0,1,1,1,1,0,1,0.0,-19.520000000000003,8
9,1,0,0,0,0,1,0,0.0,-19.52,18
10,1,0,0,0,1,1,0,0.0,-17.68,10
11,0,1,1,1,0,0,1,0.0,-17.680000000000003,1
12,0,0,0,1,1,1,1,0.0,-11.7,1
13,0,1,1,0,0,0,0,0.0,-10.64,1
