,x_0,x_1,x_10,x_11,x_12,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,-62.78999999999999,262
1,0,0,1,1,0,1,1,1,0,1,0,0,1,0.0,-62.79,127
2,0,0,1,1,0,1,1,1,0,0,0,0,1,0.0,-62.22999999999999,76
3,1,1,0,0,1,0,0,0,1,1,1,1,0,0.0,-62.23,319
4,0,1,1,1,0,1,1,1,0,0,0,0,1,0.0,-58.94,19
5,1,0,0,0,1,0,0,0,1,1,1,1,0,0.0,-58.94,76
6,0,0,0,1,0,1,1,0,0,0,0,0,1,0.0,-58.8,93
7,1,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-58.8,795
8,0,0,0,1,0,1,1,0,0,0,1,0,1,0.07692307692307693,-48.82000000000001,198
9,1,1,1,0,1,0,0,1,1,1,0,1,0,0.07692307692307693,-48.819999999999986,420
10,0,1,1,0,1,0,0,1,0,1,0,1,0,0.0,-58.019999999999996,27
11,1,0,0,1,0,1,1,0,1,0,1,0,1,0.0,-58.019999999999996,44
12,0,0,0,1,0,1,1,0,0,1,0,0,1,0.0,-57.080000000000005,43
13,1,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-57.08,155
14,0,0,0,1,0,1,1,0,0,1,1,0,1,0.07692307692307693,-51.6,88
15,1,1,1,0,1,0,0,1,1,0,0,1,0,0.07692307692307693,-51.60000000000001,88
16,0,0,0,0,1,1,1,0,0,1,0,1,0,0.0,-55.870000000000005,25
17,1,1,1,1,0,0,0,1,1,0,1,0,1,0.0,-55.87,45
18,0,1,0,1,0,1,1,0,1,0,0,0,1,0.0,-55.719999999999985,3
19,1,0,1,0,1,0,0,1,0,1,1,1,0,0.0,-55.71999999999999,48
20,0,0,1,0,1,0,1,1,0,1,0,1,0,0.0,-55.410000000000004,13
21,1,1,0,1,0,1,0,0,1,0,1,0,1,0.0,-55.41,9
22,0,0,0,1,0,1,1,0,0,0,0,0,1,0.07692307692307693,-58.8,11
23,1,1,1,0,1,0,0,1,1,1,1,1,0,0.07692307692307693,-58.8,31
24,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-54.9,22
25,1,1,0,0,1,1,0,0,1,0,1,1,0,0.0,-54.9,8
26,0,0,1,0,1,1,1,1,0,1,0,1,0,0.0,-54.88,8
27,1,1,0,1,0,0,0,0,1,0,1,0,1,0.0,-54.879999999999995,9
28,0,0,1,0,1,0,0,1,0,1,0,1,0,0.0,-54.85,6
29,1,1,0,1,0,1,1,0,1,0,1,0,1,0.0,-54.849999999999994,7
30,0,1,0,1,0,1,1,0,0,0,0,0,1,0.0,-54.64999999999999,4
31,1,0,1,0,1,0,0,1,1,1,1,1,0,0.0,-54.650000000000006,49
32,1,1,1,0,1,0,0,1,0,1,0,1,0,0.0,-54.00999999999999,13
33,0,0,0,1,0,1,1,0,1,0,1,0,1,0.0,-54.00999999999999,11
34,0,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-53.7,4
35,1,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-53.70000000000001,49
36,0,1,1,0,1,1,0,1,0,1,0,1,0,0.0,-53.65,4
37,1,0,0,1,0,0,1,0,1,0,1,0,1,0.0,-53.650000000000006,16
38,1,1,1,0,1,0,0,1,0,1,1,1,0,0.0,-53.41,45
39,0,0,0,1,0,1,1,0,1,0,0,0,1,0.0,-53.41,4
40,0,0,0,1,0,1,1,0,1,0,1,0,1,0.07692307692307693,-54.00999999999999,6
41,1,1,1,0,1,0,0,1,0,1,0,1,0,0.07692307692307693,-54.00999999999999,26
42,0,0,0,1,0,1,1,0,0,1,0,0,1,0.07692307692307693,-57.080000000000005,5
43,1,1,1,0,1,0,0,1,1,0,1,1,0,0.07692307692307693,-57.08,11
44,0,1,0,0,1,1,0,0,1,0,0,1,0,0.0,-53.31,8
45,1,0,1,1,0,0,1,1,0,1,1,0,1,0.0,-53.309999999999995,83
46,0,1,1,1,1,1,0,1,0,0,0,0,0,0.0,-53.11000000000001,16
47,1,0,0,0,0,0,1,0,1,1,1,1,1,0.0,-53.11,69
48,0,0,0,0,1,1,0,0,0,1,0,1,0,0.0,-52.71000000000001,7
49,1,1,1,1,0,0,1,1,1,0,1,0,1,0.0,-52.71,19
50,0,0,1,1,0,1,1,1,0,1,1,0,1,0.0,-52.57,20
51,1,1,0,0,1,0,0,0,1,0,0,1,0,0.0,-52.56999999999999,17
52,1,1,0,0,1,1,0,0,1,0,0,1,0,0.0,-52.52,5
53,0,0,1,1,0,0,1,1,0,1,1,0,1,0.0,-52.52,28
54,0,1,1,0,1,0,0,0,0,1,0,1,0,0.0,-52.330000000000005,7
55,1,0,0,1,0,1,1,1,1,0,1,0,1,0.0,-52.33,14
56,0,0,1,0,1,1,0,1,0,1,0,1,0,0.0,-51.8,2
57,1,1,0,1,0,0,1,0,1,0,1,0,1,0.0,-51.8,5
58,1,0,0,0,1,0,0,0,0,1,1,1,0,0.0,-51.690000000000005,3
59,0,1,1,1,0,1,1,1,1,0,0,0,1,0.0,-51.68999999999999,1
60,0,0,0,1,0,1,1,0,0,1,1,0,1,0.0,-51.6,1
61,0,1,1,1,1,0,0,1,0,1,0,0,0,0.0,-51.42,12
62,1,0,0,0,0,1,1,0,1,0,1,1,1,0.0,-51.42,2
63,1,1,1,0,1,0,0,1,1,1,1,1,0,0.07692307692307693,-58.8,1
64,1,1,1,0,1,0,0,1,1,1,0,1,0,0.07692307692307693,-48.819999999999986,1
65,0,0,0,1,0,1,1,0,0,0,1,0,1,0.07692307692307693,-48.82000000000001,1
66,0,0,1,1,0,0,1,1,0,0,0,0,1,0.0,-51.099999999999994,2
67,0,1,1,1,1,1,0,1,0,1,0,0,0,0.0,-50.95,6
68,1,0,0,0,0,0,1,0,1,0,1,1,1,0.0,-50.95,6
69,0,0,1,1,0,1,1,1,0,1,1,0,1,0.07692307692307693,-52.57,10
70,1,1,0,0,1,0,0,0,1,0,0,1,0,0.07692307692307693,-52.56999999999999,2
71,1,0,1,1,0,0,1,1,0,1,1,1,1,0.0,-50.59,25
72,0,1,0,0,1,1,0,0,1,0,0,0,0,0.0,-50.59,2
73,0,1,1,1,1,0,0,1,0,0,0,0,0,0.0,-50.34,2
74,1,0,0,0,0,1,1,0,1,1,1,1,1,0.0,-50.34,5
75,0,0,1,1,0,1,1,1,0,0,1,0,1,0.07692307692307693,-47.51,8
76,1,1,0,0,1,0,0,0,1,1,0,1,0,0.07692307692307693,-47.51,9
77,1,1,1,1,1,0,0,1,1,0,1,0,0,0.0,-50.040000000000006,29
78,0,0,0,0,0,1,1,0,0,1,0,1,1,0.0,-50.040000000000006,6
79,0,0,0,1,0,1,1,0,0,1,1,1,1,0.07692307692307693,-44.3,7
80,1,1,1,0,1,0,0,1,1,0,0,0,0,0.07692307692307693,-44.3,2
81,1,1,1,0,1,0,0,1,0,1,1,1,0,0.07692307692307693,-53.41,1
82,1,1,0,1,1,0,0,0,1,1,1,1,0,0.0,-49.629999999999995,1
83,0,1,1,1,1,0,0,1,0,1,0,1,0,0.0,-49.16,1
84,1,0,0,0,0,1,1,0,1,0,1,0,1,0.0,-49.16,1
85,0,1,1,1,0,0,1,1,0,0,0,0,1,0.0,-49.13000000000001,1
86,1,0,0,0,1,1,0,0,1,1,1,1,0,0.0,-49.13,1
87,0,0,0,1,0,1,1,1,0,0,1,0,1,0.07692307692307693,-46.589999999999996,6
88,1,1,1,0,1,0,0,0,1,1,0,1,0,0.07692307692307693,-46.59,10
89,0,1,1,0,1,1,0,1,0,0,0,0,0,0.0,-48.730000000000004,4
90,1,0,0,1,0,0,1,0,1,1,1,1,1,0.0,-48.730000000000004,26
91,0,0,0,0,0,1,1,0,0,0,0,0,1,0.0,-48.7,1
92,1,1,1,1,1,0,0,1,1,1,1,1,0,0.0,-48.69999999999999,9
93,0,0,1,1,0,1,1,1,1,0,0,0,1,0.0,-48.52,1
94,0,1,1,1,0,1,0,1,0,0,0,0,1,0.0,-48.48,1
95,1,0,0,0,1,0,1,0,1,1,1,1,0,0.0,-48.48,11
