,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,1,1,1,0,0,1,0.0,-33.52,1179
1,0,0,0,1,1,0,0.0,-33.52,2291
2,1,0,0,1,1,0,0.0,-30.729999999999997,242
3,0,1,1,0,0,1,0.0,-30.73,254
4,1,1,1,0,0,0,0.0,-25.14,3
5,0,0,0,1,1,1,0.0,-25.14,7
6,1,0,0,1,0,0,0.0,-23.049999999999997,6
7,0,1,1,0,1,1,0.0,-23.049999999999997,5
8,1,0,1,1,1,0,0.0,-20.209999999999997,2
9,0,1,0,0,0,1,0.0,-20.21,1
10,0,1,0,0,1,1,0.0,-19.31,1
11,1,1,1,0,0,1,0.16666666666666666,-33.52,1
12,0,0,0,1,1,0,0.16666666666666666,-33.52,1
13,0,1,1,0,0,1,0.16666666666666666,-30.73,1
14,0,1,0,1,1,1,0.0,-14.369999999999997,2
15,0,0,0,1,0,0,0.16666666666666666,-10.78,1
16,0,0,1,1,1,0,0.0,-13.02,2
17,0,0,1,1,1,0,0.16666666666666666,-13.02,1
