,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0,-130.28,2020
1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0.0,-130.27999999999997,1599
2,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-120.36999999999999,210
3,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-120.37000000000002,87
4,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0.0625,-130.27999999999997,8
5,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,5
6,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
7,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.0,-113.09,1
8,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0.0625,-120.36999999999999,1
9,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0.0625,-120.37000000000002,2
10,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
11,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0.0625,-130.27999999999997,1
12,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0.0625,-120.37000000000002,1
13,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0.0625,-120.36999999999999,1
14,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
15,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0,-105.67,1
16,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-105.67000000000002,1
17,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-104.34999999999997,11
18,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,-104.01000000000002,3
19,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0.0,-104.00999999999999,4
20,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0.0625,-130.27999999999997,1
21,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0.0,-103.35999999999999,1
22,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0.0,-103.35999999999999,1
23,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0.0,-102.44999999999999,1
24,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0.0,-102.45000000000002,1
25,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-101.73,1
26,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-100.83999999999999,1
27,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
28,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0.0625,-130.27999999999997,1
29,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0.0,-100.27999999999996,1
30,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.0,-100.28,4
31,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
32,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-99.85999999999997,1
33,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.0,-99.86000000000001,6
34,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0.0625,-130.27999999999997,2
35,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-97.73,1
36,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-97.72999999999998,5
37,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
38,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-95.14999999999999,2
39,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0.0625,-105.67000000000002,1
40,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0.0,-94.60999999999999,1
41,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0.0625,-90.27999999999994,1
42,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0.0,-90.92000000000002,1
43,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0.0625,-120.36999999999999,1
44,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
45,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0625,-130.28,1
46,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0.0,-75.19999999999999,1
