,x_0,x_1,x_2,chain_break_fraction,energy,num_occurrences
0,0,1,0,0.0,-14.02,2471
1,1,0,1,0.0,-14.02,1454
2,1,0,0,0.0,-10.44,36
3,0,1,1,0.0,-10.440000000000001,37
4,0,1,1,0.3333333333333333,-10.440000000000001,1
5,1,0,1,0.3333333333333333,-14.02,1
