,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,1,1,0,1,1,1,0.0,-66.82000000000002,926
1,1,0,1,1,0,0,1,0,0,0,0.0,-66.82000000000001,766
2,0,1,0,0,1,1,0,0,1,1,0.0,-66.57000000000001,1313
3,1,0,1,1,0,0,1,1,0,0,0.0,-66.57000000000001,404
4,0,1,1,0,1,1,0,1,0,1,0.0,-58.78000000000001,121
5,1,0,0,1,0,0,1,0,1,0,0.0,-58.78,52
6,0,1,1,0,1,1,0,1,1,1,0.0,-58.48000000000002,62
7,1,0,0,1,0,0,1,0,0,0,0.0,-58.480000000000004,40
8,0,1,0,0,1,1,0,1,0,1,0.0,-57.76000000000001,87
9,1,0,1,1,0,0,1,0,1,0,0.0,-57.760000000000005,42
10,0,1,0,0,1,0,0,1,1,1,0.0,-56.570000000000014,8
11,1,0,1,1,0,1,1,0,0,0,0.0,-56.56999999999999,14
12,0,1,0,0,1,0,0,0,1,1,0.0,-56.34000000000001,20
13,1,0,1,1,0,1,1,1,0,0,0.0,-56.33999999999999,7
14,0,1,0,0,1,1,0,0,1,0,0.0,-55.74,10
15,1,0,1,1,0,0,1,1,0,1,0.0,-55.74,2
16,0,1,0,0,1,0,0,1,0,1,0.0,-54.39000000000001,16
17,1,0,1,1,0,1,1,0,1,0,0.0,-54.389999999999986,8
18,0,1,0,0,1,1,0,0,0,1,0.0,-53.61,28
19,1,0,1,1,0,0,1,1,1,0,0.0,-53.61000000000001,1
20,0,1,0,0,0,1,0,1,1,1,0.0,-53.52000000000001,12
21,1,0,1,1,1,0,1,0,0,0,0.0,-53.51999999999998,16
22,1,1,0,0,1,1,0,0,1,1,0.0,-52.38,12
23,0,0,1,1,0,0,1,1,0,0,0.0,-52.379999999999995,4
24,0,1,1,0,1,0,0,1,0,1,0.0,-51.550000000000004,1
25,0,1,0,0,1,0,0,0,0,1,0.0,-50.260000000000005,4
26,1,0,1,1,0,1,1,1,1,0,0.0,-50.26,1
27,1,0,1,1,0,0,1,0,0,1,0.0,-50.25,3
28,1,1,0,0,1,0,0,0,1,1,0.0,-47.93,1
29,0,1,0,0,0,1,0,1,1,0,0.0,-46.230000000000004,1
30,1,0,1,1,1,0,1,0,0,1,0.0,-46.229999999999976,2
31,0,1,0,0,1,1,0,1,0,0,0.0,-44.570000000000014,2
32,1,1,0,0,1,1,0,0,0,1,0.0,-43.69999999999999,1
33,0,1,1,0,1,1,0,0,1,1,0.0,-43.330000000000005,1
34,0,0,0,0,1,0,0,1,1,1,0.0,-41.52000000000001,1
35,1,1,0,0,1,1,0,0,1,1,0.1,-52.38,1
36,0,1,1,1,1,1,0,1,0,1,0.0,-40.160000000000004,2
37,1,0,0,0,0,0,1,0,1,0,0.0,-40.16,1
38,1,1,1,0,1,1,0,0,0,1,0.0,-39.8,1
39,0,0,0,1,0,0,1,1,1,0,0.0,-39.800000000000004,1
40,0,1,1,0,1,1,0,0,0,1,0.0,-39.730000000000004,1
41,1,1,1,0,1,1,0,0,1,1,0.0,-39.12,1
42,0,1,0,0,1,1,0,0,0,1,0.1,-53.61,1
43,0,1,0,0,1,1,1,0,1,1,0.0,-17.940000000000005,1
44,1,0,1,1,1,1,0,0,0,0,0.1,-24.639999999999993,1
