,x_0,x_1,x_2,x_3,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,0.0,-30.849999999999998,2228
1,0,1,0,0,0.0,-30.85,1761
2,0,0,1,1,0.0,-24.02,1
3,1,1,0,0,0.0,-24.020000000000003,3
4,0,1,0,1,0.0,-23.29,2
5,0,1,1,0,0.0,-15.070000000000004,2
6,1,0,0,1,0.0,-15.07,1
7,0,1,1,1,0.0,-14.030000000000006,2
