,x_0,x_1,x_10,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,0,1,0,0,0,0,0.0,-68.55,1025
1,0,1,1,0,0,1,0,1,1,1,1,0.0,-68.55000000000001,488
2,1,0,1,1,1,0,1,0,0,0,0,0.0,-64.64999999999999,978
3,0,1,0,0,0,1,0,1,1,1,1,0.0,-64.65,78
4,0,0,0,1,1,1,1,0,1,0,0,0.0,-60.53,106
5,1,1,1,0,0,0,0,1,0,1,1,0.0,-60.52999999999999,148
6,0,1,1,0,0,1,1,1,0,1,1,0.0,-59.87999999999998,135
7,1,0,0,1,1,0,0,0,1,0,0,0.0,-59.87999999999999,177
8,0,0,0,1,1,0,1,0,1,0,0,0.0,-58.849999999999994,129
9,1,1,1,0,0,1,0,1,0,1,1,0.0,-58.849999999999994,93
10,0,0,0,1,1,0,0,0,1,0,0,0.0,-57.87999999999999,58
11,1,1,1,0,0,1,1,1,0,1,1,0.0,-57.87999999999998,57
12,1,1,0,0,0,0,0,1,0,1,1,0.0,-57.75,25
13,0,0,1,1,1,1,1,0,1,0,0,0.0,-57.74999999999999,117
14,0,0,1,1,1,1,1,0,0,0,0,0.0,-57.32999999999999,99
15,1,1,0,0,0,0,0,1,1,1,1,0.0,-57.33,4
16,0,1,1,0,0,1,1,1,1,1,1,0.0,-56.079999999999984,11
17,1,0,0,1,1,0,0,0,0,0,0,0.0,-56.08,14
18,1,0,0,1,1,1,1,0,0,0,0,0.0,-55.15,10
19,0,1,1,0,0,0,0,1,1,1,1,0.0,-55.14999999999999,8
20,0,1,1,0,0,1,0,1,0,1,1,0.0,-55.06999999999999,14
21,1,0,0,1,1,0,1,0,1,0,0,0.0,-55.06999999999999,29
22,1,0,0,1,1,0,1,0,0,0,1,0.0,-54.71,6
23,0,1,1,0,0,1,0,1,1,1,0,0.0,-54.709999999999994,2
24,1,0,1,1,1,1,1,0,0,0,0,0.0,-54.089999999999996,18
25,0,1,0,0,0,0,0,1,1,1,1,0.0,-54.09,2
26,1,0,1,1,1,0,1,1,0,0,0,0.0,-53.90999999999999,5
27,1,1,0,0,0,1,0,1,0,1,1,0.0,-53.230000000000004,5
28,0,0,1,1,1,0,1,0,1,0,0,0.0,-53.22999999999999,28
29,1,1,1,1,0,1,1,1,0,1,1,0.0,-53.21000000000001,17
30,0,0,0,0,1,0,0,0,1,0,0,0.0,-53.209999999999994,4
31,0,1,1,1,0,1,1,1,1,1,1,0.0,-53.19,5
32,0,0,1,1,1,0,1,0,0,0,0,0.0,-52.82999999999999,31
33,1,1,0,0,0,1,0,1,1,1,1,0.0,-52.83,2
34,1,0,1,1,1,0,1,0,0,0,1,0.0,-51.10999999999999,11
35,0,1,0,0,0,1,0,1,1,1,0,0.0,-51.11,1
36,1,0,0,0,1,0,1,0,0,0,0,0.0,-50.76,1
37,0,1,1,1,0,1,0,1,1,1,1,0.0,-50.75999999999999,3
38,0,1,1,1,1,1,1,0,0,0,0,0.0,-50.62,3
39,1,0,0,0,0,0,0,1,1,1,1,0.0,-50.620000000000005,1
40,0,0,0,1,1,1,0,0,1,0,0,0.0,-50.279999999999994,4
41,1,1,1,0,0,0,1,1,0,1,1,0.0,-50.27999999999999,1
42,0,1,1,1,0,1,1,0,1,1,1,0.0,-50.08999999999999,2
43,1,1,1,0,0,0,0,1,1,1,1,0.0,-49.72999999999999,1
44,0,0,1,1,1,0,0,0,1,0,0,0.0,-48.87999999999999,8
45,0,1,0,0,0,1,1,1,1,1,1,0.0,-48.8,1
46,1,0,1,1,1,0,0,0,0,0,0,0.0,-48.8,4
47,1,1,1,0,0,0,0,1,1,1,1,0.09090909090909091,-49.72999999999999,1
48,0,0,0,1,1,0,1,0,0,0,0,0.0,-48.06999999999999,1
49,1,1,1,0,0,1,0,1,1,1,1,0.0,-48.06999999999999,1
50,1,0,0,1,1,0,1,1,0,0,0,0.0,-48.029999999999994,1
51,1,0,0,1,1,0,0,1,1,0,0,0.0,-47.3,1
52,1,1,1,0,0,1,0,1,1,1,1,0.09090909090909091,-48.06999999999999,1
53,0,1,1,1,1,1,1,0,1,0,0,0.0,-46.69999999999999,1
54,1,0,1,1,1,0,0,1,0,0,0,0.0,-46.11999999999999,1
55,1,0,0,0,1,0,0,0,1,0,0,0.0,-45.22999999999999,1
56,1,0,0,1,1,0,1,0,0,0,0,0.09090909090909091,-68.55,2
57,1,0,1,1,1,0,1,1,0,0,1,0.0,-44.489999999999995,1
58,0,0,1,1,1,1,0,0,1,0,0,0.0,-44.11999999999998,1
59,0,0,0,1,1,1,1,0,1,0,0,0.09090909090909091,-60.53,1
60,1,0,1,0,1,0,0,1,0,0,0,0.0,-43.50999999999999,1
61,1,0,0,1,1,0,1,0,0,0,0,0.09090909090909091,-68.55,1
62,0,1,1,0,0,1,0,1,1,1,1,0.09090909090909091,-68.55000000000001,1
63,1,0,1,1,1,0,0,0,1,0,0,0.0,-42.21999999999998,3
64,0,0,1,1,0,1,1,0,1,0,0,0.0,-42.22,1
65,1,0,1,1,1,0,1,0,0,0,0,0.09090909090909091,-64.64999999999999,1
66,1,1,1,1,0,1,1,1,0,1,1,0.09090909090909091,-53.21000000000001,1
67,1,1,1,0,0,1,1,1,0,1,1,0.09090909090909091,-57.87999999999998,1
68,0,1,0,0,0,1,0,1,1,1,1,0.09090909090909091,-64.65,1
69,0,1,1,0,0,1,0,1,1,1,1,0.09090909090909091,-68.55000000000001,1
70,0,0,1,1,0,1,1,0,0,0,0,0.0,-39.24,1
71,1,0,1,1,1,0,1,0,0,0,0,0.09090909090909091,-64.64999999999999,1
72,0,0,1,1,1,0,0,0,1,0,0,0.09090909090909091,-48.87999999999999,1
73,1,1,1,0,0,1,1,1,0,1,1,0.09090909090909091,-57.87999999999998,1
74,0,0,1,1,1,0,1,0,0,0,0,0.09090909090909091,-52.82999999999999,1
