,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,1,0,0,0.0,-78.93,2367
1,1,0,0,1,0,1,1,0.0,-78.92999999999999,837
2,1,0,1,1,0,0,1,0.0,-74.76,283
3,0,1,0,0,1,1,0,0.0,-74.76000000000002,248
4,1,0,1,1,0,1,1,0.0,-72.71000000000001,61
5,0,1,0,0,1,0,0,0.0,-72.71000000000001,98
6,1,0,1,0,0,0,1,0.0,-69.61,16
7,0,1,0,1,1,1,0,0.0,-69.61000000000001,19
8,1,0,1,0,0,0,0,0.0,-66.73,8
9,0,1,0,1,1,1,1,0.0,-66.73,8
10,1,0,1,0,1,0,0,0.0,-65.55,3
11,0,1,0,1,0,1,1,0.0,-65.55,5
12,0,1,1,0,1,1,0,0.0,-64.60000000000002,6
13,1,0,0,1,0,0,1,0.0,-64.6,4
14,0,0,0,1,0,1,1,0.0,-64.17999999999999,4
15,1,1,1,0,1,0,0,0.0,-64.18,5
16,0,0,1,0,1,1,0,0.0,-63.77000000000002,4
17,1,1,0,1,0,0,1,0.0,-63.769999999999996,1
18,0,0,0,1,1,1,1,0.0,-62.70000000000001,2
19,1,1,1,0,0,0,0,0.0,-62.70000000000001,1
20,1,0,1,0,1,0,1,0.0,-62.28999999999999,1
21,0,1,0,1,0,1,0,0.0,-62.290000000000006,3
22,0,0,1,1,1,1,0,0.0,-61.960000000000015,1
23,1,1,0,0,0,0,1,0.0,-61.959999999999994,1
24,0,0,1,1,1,1,1,0.0,-61.42000000000002,1
25,0,1,0,0,1,0,1,0.0,-60.59,1
26,1,0,1,1,0,0,0,0.0,-60.02000000000001,2
27,0,0,1,0,1,0,0,0.0,-59.440000000000005,2
28,0,1,0,1,1,0,0,0.0,-55.5,1
29,0,1,0,1,0,0,1,0.0,-54.099999999999994,1
30,0,1,1,0,1,0,1,0.0,-52.370000000000005,1
31,0,1,0,0,0,0,0,0.0,-51.09,1
32,1,0,0,0,0,1,1,0.0,-50.779999999999994,1
33,0,0,0,1,1,1,0,0.0,-48.800000000000004,1
34,0,0,1,0,0,1,1,0.14285714285714285,-33.59000000000001,1
35,1,1,1,0,1,0,0,0.14285714285714285,-64.18,1
