,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,1,0,0.0,-33.52,1420
1,1,1,1,0,0,1,0.0,-33.52,2265
2,0,1,1,0,0,1,0.0,-30.73,148
3,1,0,0,1,1,0,0.0,-30.729999999999997,147
4,0,0,0,1,1,1,0.0,-25.14,6
5,1,1,1,0,0,0,0.0,-25.14,5
6,0,1,1,0,1,1,0.0,-23.049999999999997,3
7,1,1,1,0,0,1,0.16666666666666666,-33.52,1
8,1,1,1,0,0,1,0.16666666666666666,-33.52,1
9,1,0,1,1,1,0,0.0,-20.209999999999997,1
10,0,1,0,0,1,1,0.0,-19.31,1
11,0,0,0,1,1,0,0.16666666666666666,-33.52,1
12,1,1,1,1,0,1,0.0,-7.820000000000001,1
