,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.0,-187.55999999999997,114
1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-187.56,601
2,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-186.54000000000002,125
3,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.0,-186.53999999999996,53
4,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-185.74,614
5,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.0,-185.73999999999998,71
6,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0,-184.88,112
7,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0.0,-184.88000000000002,82
8,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0.0,-182.5,58
9,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0.0,-182.5,321
10,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0.0,-180.87,191
11,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0.0,-180.87,53
12,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0.0,-179.49,400
13,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0.0,-179.48999999999995,31
14,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-176.21000000000004,8
15,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.0,-176.20999999999998,13
16,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0.0,-175.92000000000002,25
17,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0.0,-175.92,4
18,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0.0,-175.90999999999997,279
19,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0.0,-175.90999999999997,17
20,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0,-175.46000000000004,13
21,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0.0,-175.45999999999998,9
22,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0.0,-175.26,18
23,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0.0,-175.26000000000005,13
24,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-175.12,32
