,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_3,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_4,x_40,x_41,x_42,x_43,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0.36363636363636365,-2566.5000000000027,1
1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0.3409090909090909,-2584.370000000004,1
2,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0.25,-2700.560000000002,1
3,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0.3181818181818182,-2675.400000000003,1
4,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0.3181818181818182,-2532.680000000004,1
5,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0.3409090909090909,-2574.3300000000027,1
6,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.3409090909090909,-2530.4900000000007,1
7,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0.38636363636363635,-2583.670000000003,1
8,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.38636363636363635,-2564.150000000001,1
9,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.38636363636363635,-2660.9100000000008,1
