,x_0,x_1,x_10,x_11,x_12,x_13,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0.0,-79.17999999999999,102
1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0.0,-79.17999999999998,546
2,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0.0,-76.41999999999997,407
3,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0.0,-76.41999999999999,112
4,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0.0,-76.28999999999998,694
5,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0.0,-76.28999999999999,47
6,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0.0,-75.56999999999998,185
7,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0.0,-75.57,111
8,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.0,-74.27999999999997,425
9,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0.0,-74.27999999999999,62
10,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0.0,-73.98999999999998,174
11,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0.0,-73.99,7
12,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0.0,-73.61,57
13,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0.0,-73.61,11
14,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0.0,-72.55999999999999,82
15,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0.0,-72.55999999999999,7
16,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0.0,-72.54,68
17,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0.0,-72.53999999999999,31
18,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0.0,-72.39999999999999,126
19,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0.0,-72.39999999999998,25
20,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0.0,-71.85999999999999,63
21,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0.0,-71.86000000000001,56
22,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0.0,-71.61999999999998,13
23,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0.0,-71.61999999999999,44
24,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0.0,-70.00999999999999,29
25,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0.0,-70.00999999999999,6
26,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0.0,-69.41000000000001,27
27,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0.0,-69.41,3
28,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0.0,-69.38999999999999,30
29,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0.0,-69.38999999999999,10
30,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0.0,-68.91,10
31,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0.0,-68.90999999999997,59
32,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0.0,-68.86999999999999,8
33,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0.0,-68.86999999999999,9
34,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0.07142857142857142,-76.28999999999999,1
35,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0.07142857142857142,-76.41999999999997,3
36,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0.0,-68.54999999999998,5
37,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0.0,-68.55000000000001,5
38,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0.0,-68.52,3
39,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0.0,-68.51999999999998,19
40,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0.0,-68.25999999999999,14
41,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0.0,-68.25999999999999,52
42,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0.0,-68.12,11
43,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0,-68.11999999999998,4
44,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0.0,-67.93,8
45,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0.0,-67.92999999999999,2
46,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.0,-67.82999999999998,13
47,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0.0,-67.82999999999998,11
48,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0.0,-67.78999999999999,3
49,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0.0,-67.79,12
50,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0.0,-67.07,6
51,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0.0,-67.07,18
