,x_0,x_1,x_10,x_11,x_12,x_13,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
53,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.0,-66.89,8
54,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0.07142857142857142,-76.41999999999997,3
55,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0.0,-65.66,5
56,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0.0,-65.66,4
57,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0.0,-65.59,3
58,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0.0,-65.58999999999999,39
59,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0.0,-64.79999999999998,2
60,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0.0,-64.80000000000001,7
61,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0.0,-64.69999999999999,33
62,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0.0,-64.7,12
63,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0.0,-64.34,20
64,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0.0,-64.34000000000002,21
65,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0.0,-64.15000000000002,3
66,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0.0,-64.14999999999999,6
67,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0.0,-64.0,4
68,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0.0,-64.0,1
69,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0.0,-63.639999999999986,2
70,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0.0,-63.640000000000015,5
71,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0.0,-63.56999999999999,7
72,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.0,-63.33,1
73,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0.0,-63.32999999999999,3
74,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0.0,-62.41000000000001,3
75,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,-62.3,3
76,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0.0,-61.769999999999996,1
77,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0.0,-61.540000000000006,5
78,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0.0,-61.539999999999985,1
79,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0.0,-61.49000000000001,1
80,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-61.269999999999996,5
