,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,0,1,0,0.0,-32.980000000000004,2158
1,0,1,0,1,0,1,0,1,0.0,-32.98,1450
2,0,1,0,1,1,1,0,1,0.0,-26.589999999999996,137
3,1,0,1,0,0,0,1,0,0.0,-26.59,88
4,1,0,1,1,1,0,1,0,0.0,-24.200000000000003,78
5,0,1,0,0,0,1,0,1,0.0,-24.200000000000003,27
6,0,1,1,1,0,1,0,1,0.0,-22.609999999999996,5
7,1,0,0,0,1,0,1,0,0.0,-22.610000000000003,7
8,1,0,0,1,1,0,1,0,0.0,-20.21,3
9,0,1,1,0,0,1,0,1,0.0,-20.21,1
10,1,0,1,0,0,1,1,0,0.0,-19.94,9
11,0,1,0,1,1,0,0,1,0.0,-19.939999999999998,13
12,1,0,0,0,0,1,0,0,0.0,-17.39,2
13,0,1,1,1,1,0,1,1,0.0,-17.39,3
14,1,0,1,0,1,1,1,0,0.0,-16.970000000000002,2
15,0,0,0,0,1,1,0,0,0.0,-14.620000000000001,4
16,1,1,1,1,0,0,1,1,0.0,-14.62,1
17,0,0,1,0,0,1,0,1,0.0,-14.379999999999997,1
18,1,0,0,0,0,0,0,0,0.0,-13.32,2
19,1,0,0,0,0,0,1,0,0.0,-11.780000000000001,1
20,0,1,1,1,1,1,0,1,0.0,-11.780000000000005,1
21,1,1,1,0,1,0,1,0,0.0,-10.209999999999999,2
22,0,0,1,0,1,0,1,0,0.0,-8.22,1
23,1,1,1,1,0,1,0,1,0.0,-7.830000000000002,1
24,0,1,0,0,1,1,0,1,0.0,-7.77,1
25,1,0,1,1,1,0,1,0,0.125,-24.200000000000003,1
26,0,0,1,1,0,1,0,1,0.0,-4.119999999999987,1
