,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-95.17,523
1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-95.17,574
2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-93.56,416
3,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-93.56,352
4,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-91.52999999999999,118
5,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-91.53,222
6,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-90.57999999999998,125
7,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-90.58000000000001,141
8,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0.0,-88.08999999999999,57
9,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0.0,-88.09,397
10,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0.0,-84.38000000000001,23
11,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0.0,-84.38,44
12,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-83.96000000000001,46
13,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-83.96,18
14,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0.0,-83.71,15
15,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0.0,-83.71000000000001,18
16,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0,-83.07,21
17,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-83.07,80
18,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0.0,-82.63000000000002,12
19,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0.0,-82.63000000000004,9
20,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0.0,-82.43,36
21,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0.0,-82.43000000000002,83
22,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-82.11,15
23,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-82.11,10
24,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0.0,-81.99,13
25,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0.0,-81.98999999999997,77
26,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-81.67,6
27,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0.0,-81.67000000000002,15
28,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0.0,-81.12,8
29,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0,-81.12,4
30,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0.0,-80.22999999999999,10
31,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0.0,-80.22999999999999,46
32,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,-79.96000000000001,6
33,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0.0,-79.95999999999998,11
34,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0,-79.11,6
35,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0.0,-79.10999999999999,9
36,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0.0,-78.46999999999998,8
37,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0.0,-78.47,3
38,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0.0,-78.14,3
39,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0.0,-78.14,11
40,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0.0,-77.38,39
41,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0.0,-77.38,3
42,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0.0,-77.38000000000002,2
43,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0.0,-77.38000000000002,2
44,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0.0,-77.03000000000002,4
45,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0.0,-76.36,6
46,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0.0,-76.35999999999999,2
47,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0.06666666666666667,-95.17,1
48,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0.06666666666666667,-82.11,2
49,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0.0,-76.24000000000001,5
50,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0.0,-76.23999999999997,20
51,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0.0,-76.19,7
52,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0.0,-76.19000000000001,4
53,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-76.17000000000002,2
54,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0,-76.16999999999999,2
55,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0.0,-76.08000000000003,2
56,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0.0,-76.08000000000001,2
57,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0.0,-76.06,8
58,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.0,-76.05999999999999,1
59,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-76.0,2
60,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0.0,-75.47999999999999,14
61,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0.0,-75.47999999999999,1
62,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0.0,-75.30999999999999,5
63,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0.0,-75.31,14
64,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0.0,-75.30000000000003,1
65,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0.0,-75.30000000000001,1
66,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0.0,-75.19999999999999,2
67,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0.0,-75.2,13
68,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.0,-75.01000000000003,1
69,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0.0,-75.01000000000002,1
70,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.0,-74.83000000000001,2
71,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0.06666666666666667,-91.52999999999999,1
72,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0.0,-74.63999999999999,2
73,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0.0,-74.63999999999997,3
74,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0.0,-74.59999999999998,1
75,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-74.6,3
76,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0.0,-74.34,2
77,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.0,-74.34000000000002,1
78,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0.0,-74.22999999999999,1
79,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0.0,-74.23,6
80,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0.0,-74.22999999999999,8
81,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0.0,-74.22999999999999,4
82,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0.0,-74.21999999999997,1
83,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0.0,-74.22,7
84,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0.0,-73.83999999999999,6
85,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0.0,-73.60000000000001,1
86,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0.0,-73.6,7
87,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0.0,-73.58,1
88,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0.0,-73.58,7
89,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0.0,-73.57000000000001,1
90,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.0,-73.57000000000001,1
91,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0.0,-73.54999999999998,1
92,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0.0,-73.54999999999998,6
93,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-73.49000000000001,1
94,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-73.49000000000001,2
95,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0.0,-73.44,2
96,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0.0,-73.44,2
97,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.0,-73.28,2
98,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0.0,-73.17999999999998,1
99,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,-73.15,4
100,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0.0,-73.11999999999996,3
101,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0.0,-73.11999999999999,1
102,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0.0,-73.01999999999998,7
103,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0.06666666666666667,-80.22999999999999,1
104,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0.0,-72.86000000000001,13
105,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0.0,-72.85999999999999,3
106,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0.0,-72.64,1
107,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0.06666666666666667,-95.17,1
108,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,-72.05999999999999,2
109,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0,-71.98,1
110,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0.0,-71.72999999999998,4
111,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0.0,-71.72999999999999,1
112,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0,-71.32,1
113,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0.0,-71.21,3
114,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0.0,-71.02999999999999,4
115,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0.0,-71.03,2
116,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0.0,-70.99,2
117,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0.0,-70.98999999999998,2
118,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0.0,-70.97000000000001,2
119,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0.0,-70.84,2
120,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0.0,-70.84,1
121,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0.0,-70.81999999999998,5
122,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0.0,-70.55,1
123,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0.0,-70.32999999999998,1
124,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0.0,-70.13999999999999,2
125,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0.0,-70.06000000000002,1
126,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0.0,-70.06000000000002,1
127,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0.0,-69.55,1
128,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-69.52000000000001,4
129,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0.0,-69.24999999999999,1
130,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.0,-69.25,3
