,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0.0,-123.96000000000001,159
1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-123.96000000000002,127
2,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-122.27000000000001,67
3,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-122.27000000000002,192
4,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0.0,-120.77000000000001,44
5,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-120.77000000000002,108
6,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0.0,-118.65000000000002,52
7,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0.0,-118.65000000000002,696
8,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0.0,-117.93,16
9,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0.0,-117.93000000000002,30
10,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0.0,-117.80000000000001,5
11,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.0,-117.80000000000004,86
12,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0.0,-115.39999999999998,11
13,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0.0,-115.40000000000002,24
14,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-115.37999999999998,395
15,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0.0,-115.38000000000001,17
16,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-115.35999999999999,64
17,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-115.35999999999999,4
18,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0.0,-113.84000000000002,45
19,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0.0,-113.84000000000002,11
20,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0.0,-112.39,25
21,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0.0,-112.39,9
22,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0.0,-110.83000000000001,2
23,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-110.83000000000003,10
24,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0.0,-110.82000000000001,6
25,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0.0,-110.82000000000002,103
26,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-110.65,4
27,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-110.65,3
28,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-110.36,4
29,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-110.36000000000001,9
30,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,-109.85,113
31,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0.0,-109.85000000000001,22
32,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0.0,-109.59,44
33,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0.0,-109.59000000000002,2
34,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0.0,-109.51000000000002,10
35,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0.0,-109.51000000000005,50
36,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.0,-109.47,27
37,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-109.24,12
38,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-109.13,10
39,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0.0,-108.73999999999998,5
40,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0.0,-108.73999999999998,13
41,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0.0,-108.50999999999999,25
42,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0.0,-108.50999999999999,8
43,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-108.4,3
44,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0.0,-108.39999999999998,50
45,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0.0,-108.18000000000002,18
46,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0.0,-108.17999999999998,19
47,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0.0,-108.09000000000002,11
48,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0.0,-108.09000000000002,47
49,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-108.05000000000001,2
50,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0.0,-107.27000000000002,8
51,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.0,-107.27000000000002,47
52,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.0,-106.62,8
53,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0.0,-106.62,1
54,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-106.46000000000001,33
55,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0.0,-106.46000000000001,9
56,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,-106.16000000000003,1
57,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-105.81,13
58,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0.0,-105.81,14
59,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0.0,-105.55000000000003,13
60,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.0,-105.54999999999998,44
61,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0.0,-105.48000000000003,7
62,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0.0,-105.48,4
63,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0.0,-105.4,31
64,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-105.4,9
65,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0.0,-105.32000000000002,1
66,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-105.32,5
