,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,0,1,0,0.0,-112.98000000000002,2023
1,0,1,0,1,0,1,0,1,0.0,-112.98,1513
2,1,0,1,0,0,0,1,0,0.0,-101.59,145
3,0,1,0,1,1,1,0,1,0.0,-101.59000000000002,44
4,0,1,1,0,0,1,0,1,0.0,-100.21,38
5,1,0,0,1,1,0,1,0,0.0,-100.21,51
6,0,1,0,1,1,0,0,1,0.0,-99.94000000000003,17
7,1,0,1,0,0,1,1,0,0.0,-99.94000000000001,76
8,0,1,0,0,0,1,0,1,0.0,-99.19999999999999,20
9,1,0,1,1,1,0,1,0,0.0,-99.2,24
10,1,0,0,0,1,0,1,0,0.0,-97.61,14
11,0,1,1,1,0,1,0,1,0.0,-97.60999999999999,20
12,1,1,1,0,0,0,1,0,0.0,-92.47999999999999,3
13,1,0,0,0,1,1,1,0,0.0,-90.94000000000001,1
14,1,1,0,1,1,0,1,0,0.0,-89.37999999999998,2
15,0,0,1,0,0,1,0,1,0.0,-89.38,1
16,1,0,1,1,0,0,1,0,0.0,-87.77,2
17,1,1,0,0,1,0,1,0,0.0,-84.12,1
18,0,0,1,1,0,1,0,1,0.0,-84.12,1
19,0,0,1,0,1,0,1,0,0.0,-83.22000000000001,2
20,0,0,1,0,1,1,1,0,0.0,-77.99000000000001,1
21,1,0,1,0,1,0,0,0,0.0,-75.70000000000002,1
