,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,1,0,1,0.0,-22.130000000000003,702
1,0,1,1,0,0,0,1,0,0.0,-22.130000000000003,670
2,1,1,0,1,1,0,1,1,0.0,-22.019999999999996,1143
3,0,0,1,0,0,1,0,0,0.0,-22.02,357
4,1,1,0,1,0,0,1,1,0.0,-20.009999999999998,266
5,0,0,1,0,1,1,0,0,0.0,-20.01,131
6,1,0,0,1,1,1,1,1,0.0,-20.000000000000004,178
7,0,1,1,0,0,0,0,0,0.0,-20.0,106
8,1,1,0,1,1,1,1,1,0.0,-19.3,91
9,0,0,1,0,0,0,0,0,0.0,-19.3,47
10,0,1,1,0,0,1,0,0,0.0,-18.959999999999997,30
11,1,0,0,1,1,0,1,1,0.0,-18.96,92
12,0,1,0,1,0,0,1,0,0.0,-17.59,36
13,1,0,1,0,1,1,0,1,0.0,-17.589999999999996,43
14,1,0,0,1,1,0,0,1,0.0,-16.709999999999997,15
15,0,1,1,0,0,1,1,0,0.0,-16.709999999999997,7
16,1,1,1,0,1,1,0,1,0.0,-15.769999999999998,8
17,0,0,0,1,0,0,1,0,0.0,-15.77,5
18,0,0,1,0,0,0,1,0,0.0,-15.31,7
19,1,1,0,1,1,1,0,1,0.0,-15.309999999999997,5
20,1,0,0,1,0,0,0,1,0.0,-14.780000000000001,4
21,0,1,1,0,1,1,1,0,0.0,-14.780000000000001,6
22,1,0,0,1,0,0,1,1,0.0,-14.510000000000002,8
23,0,1,1,0,1,1,0,0,0.0,-14.510000000000002,5
24,1,0,0,1,0,1,0,1,0.0,-14.24,1
25,0,1,1,0,1,0,1,0,0.0,-14.24,5
26,0,0,1,0,1,1,1,0,0.0,-14.160000000000004,4
27,1,1,0,1,0,0,0,1,0.0,-14.159999999999997,2
28,0,0,1,0,0,1,1,0,0.0,-13.650000000000002,2
29,1,1,0,1,1,0,0,1,0.0,-13.649999999999995,3
30,1,1,1,0,0,1,0,1,0.0,-13.26,1
31,0,0,0,1,1,0,1,0,0.0,-13.26,7
32,0,1,0,1,1,0,1,0,0.0,-12.639999999999999,2
33,1,1,1,0,0,0,0,1,0.0,-11.759999999999998,2
34,1,0,0,0,1,1,0,1,0.0,-10.17,4
35,1,0,0,1,0,1,1,1,0.0,-9.59,1
36,1,1,0,0,1,0,1,1,0.0,-7.959999999999997,1
37,0,1,0,1,1,0,1,1,0.0,-7.57,1
38,1,0,1,0,0,1,0,0,0.0,-7.57,1
39,1,0,1,0,1,0,0,1,0.0,-6.369999999999998,1
