,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,0,1,0,0.0,-32.980000000000004,1568
1,0,1,0,1,0,1,0,1,0.0,-32.98,2154
2,0,1,0,1,1,1,0,1,0.0,-26.589999999999996,96
3,1,0,1,0,0,0,1,0,0.0,-26.59,77
4,1,0,1,1,1,0,1,0,0.0,-24.200000000000003,28
5,0,1,0,0,0,1,0,1,0.0,-24.200000000000003,44
6,1,0,0,0,1,0,1,0,0.0,-22.610000000000003,4
7,0,1,1,1,0,1,0,1,0.0,-22.609999999999996,6
8,1,0,0,1,1,0,1,0,0.0,-20.21,3
9,0,1,1,0,0,1,0,1,0.0,-20.21,1
10,0,1,0,1,1,0,0,1,0.0,-19.939999999999998,3
11,1,0,1,0,0,1,1,0,0.0,-19.94,2
12,1,0,0,0,0,1,0,0,0.0,-17.39,1
13,1,0,1,0,1,1,1,0,0.0,-16.970000000000002,2
14,0,0,0,0,1,1,0,0,0.0,-14.620000000000001,2
15,0,0,0,0,1,0,0,0,0.0,-14.13,1
16,1,1,1,1,1,0,1,0,0.0,-14.09,1
17,1,0,1,0,0,0,1,0,0.125,-26.59,1
18,1,0,1,0,1,0,1,0,0.125,-32.980000000000004,1
19,0,1,0,1,0,1,0,1,0.125,-32.98,1
20,0,1,0,1,0,1,1,1,0.125,-0.6999999999999993,1
21,0,1,0,0,1,1,0,1,0.0,-7.77,1
22,1,0,1,0,1,0,1,0,0.125,-32.980000000000004,1
23,0,1,0,0,1,1,0,0,0.0,-1.1499999999999986,1
