,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,0,1,1,0.0,-78.92999999999999,2713
1,0,1,1,0,1,0,0,0.0,-78.93,681
2,1,0,1,1,0,0,1,0.0,-74.76,404
3,0,1,0,0,1,1,0,0.0,-74.76000000000002,41
4,1,0,1,1,0,1,1,0.0,-72.71000000000001,71
5,0,1,0,0,1,0,0,0.0,-72.71000000000001,17
6,0,1,0,1,1,1,0,0.0,-69.61000000000001,2
7,1,0,1,0,0,0,1,0.0,-69.61,44
8,1,0,0,1,0,1,1,0.14285714285714285,-78.92999999999999,3
9,0,1,1,0,1,0,0,0.14285714285714285,-78.93,1
10,1,0,1,0,0,0,0,0.0,-66.73,6
11,1,0,1,0,1,0,0,0.0,-65.55,2
12,0,1,0,1,0,1,1,0.0,-65.55,1
13,0,0,0,1,0,1,1,0.0,-64.17999999999999,1
14,1,1,0,1,0,0,1,0.0,-63.769999999999996,2
15,1,1,1,0,0,0,0,0.0,-62.70000000000001,2
16,0,0,0,1,1,1,1,0.0,-62.70000000000001,1
17,1,0,0,1,0,1,1,0.14285714285714285,-78.92999999999999,1
18,1,1,0,0,0,0,1,0.0,-61.959999999999994,1
19,1,0,1,1,0,1,0,0.0,-60.59000000000002,1
20,0,1,0,1,1,0,0,0.0,-55.5,1
21,1,0,1,0,0,1,1,0.0,-55.50000000000001,1
22,1,0,1,0,0,1,0,0.0,-55.24000000000001,1
23,1,0,0,1,0,1,0,0.0,-52.370000000000005,1
24,1,1,0,0,0,0,1,0.14285714285714285,-61.959999999999994,1
