,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-95.17,263
1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-95.17,1437
2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-93.56,157
3,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-93.56,711
4,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-91.53,59
5,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-91.52999999999999,152
6,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-90.58000000000001,290
7,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-90.57999999999998,24
8,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0.0,-88.08999999999999,58
9,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0.0,-88.09,25
10,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0.0,-84.38,31
11,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0.0,-84.38000000000001,82
12,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-83.96000000000001,2
13,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-83.96,16
14,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0.0,-83.71000000000001,20
15,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0.0,-83.71,87
16,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0,-83.07,8
17,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-83.07,16
18,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0.0,-82.63000000000004,5
19,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0.0,-82.63000000000002,13
20,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0.0,-82.43000000000002,32
21,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0.0,-82.43,24
22,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-82.11,2
23,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-82.11,36
24,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0.0,-81.98999999999997,1
25,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0.0,-81.67000000000002,11
26,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0.0,-81.12,16
27,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0.0,-80.22999999999999,7
28,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0.0,-80.22999999999999,4
29,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0.06666666666666667,-84.38000000000001,3
30,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0.06666666666666667,-84.38,2
31,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0.0,-79.10999999999999,8
32,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0.06666666666666667,-83.71,1
33,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0.06666666666666667,-83.71000000000001,1
34,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0.06666666666666667,-68.77000000000001,52
35,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0.06666666666666667,-68.77,19
36,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0.0,-78.46999999999998,8
37,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0.0,-78.14,7
38,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0.0,-78.14,3
39,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0.06666666666666667,-95.17,1
40,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0.0,-77.38000000000002,4
41,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0.0,-77.38,4
42,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0.0,-77.38,2
43,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0,-77.03000000000002,6
44,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0.0,-77.03000000000002,5
45,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0.06666666666666667,-73.01999999999998,28
46,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0.06666666666666667,-73.02,11
47,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0.06666666666666667,-95.17,1
48,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0.0,-76.36,11
49,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0.0,-76.19,1
50,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0,-76.16999999999999,2
51,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-76.17000000000002,4
52,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0.0,-76.08000000000003,13
53,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0.0,-76.06,2
54,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.0,-76.05999999999999,1
