,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,chain_break_fraction,energy,num_occurrences
0,1,1,1,1,1,1,1,0,0,0.0,-50.239999999999995,1646
1,0,0,0,0,0,0,0,1,1,0.0,-50.239999999999995,857
2,1,1,1,0,0,1,1,0,1,0.0,-45.63,274
3,0,0,0,1,1,0,0,1,0,0.0,-45.63,186
4,1,0,0,1,0,0,1,0,1,0.0,-44.99999999999999,172
5,0,1,1,0,1,1,0,1,0,0.0,-45.0,311
6,1,0,1,1,1,1,1,0,0,0.0,-44.65999999999999,80
7,0,1,0,0,0,0,0,1,1,0.0,-44.66,163
8,0,1,0,0,0,0,1,1,1,0.0,-42.519999999999996,12
9,1,0,1,1,1,1,0,0,0,0.0,-42.519999999999996,30
10,0,0,0,1,1,0,0,1,1,0.0,-42.15,25
11,1,1,1,0,0,1,1,0,0,0.0,-42.15,35
12,0,0,1,0,1,1,0,1,0,0.0,-41.19999999999999,31
13,1,1,0,1,0,0,1,0,1,0.0,-41.199999999999996,62
14,0,0,0,0,1,0,0,1,1,0.0,-40.269999999999996,3
15,1,1,1,1,0,1,1,0,0,0.0,-40.269999999999996,10
16,1,1,1,1,1,1,1,0,1,0.0,-38.72,10
17,0,0,0,0,0,0,0,1,0,0.0,-38.72,3
18,1,0,0,1,0,0,1,1,1,0.0,-38.17999999999999,5
19,0,1,1,0,1,1,0,0,0,0.0,-38.18,3
20,0,1,0,0,0,0,0,1,0,0.0,-37.58,11
21,1,0,1,1,1,1,1,0,1,0.0,-37.57999999999999,3
22,0,0,0,0,1,0,0,1,0,0.0,-37.37,2
23,1,1,1,1,0,1,1,0,1,0.0,-37.37,5
24,1,1,1,0,0,0,1,1,1,0.0,-37.269999999999996,6
25,0,0,0,1,1,1,0,0,0,0.0,-37.269999999999996,2
26,1,1,1,0,1,1,1,0,0,0.0,-37.22,2
27,1,0,0,0,0,0,0,1,1,0.0,-37.16,2
28,0,1,1,1,1,1,1,0,0,0.0,-37.16,4
29,1,0,0,0,0,0,1,1,1,0.0,-36.62,3
30,0,1,1,1,1,1,0,0,0,0.0,-36.620000000000005,2
31,0,0,1,1,1,1,0,1,0,0.0,-35.75999999999999,2
32,1,1,0,0,0,0,1,0,1,0.0,-35.76,7
33,1,1,1,1,0,0,1,0,1,0.0,-35.17,5
34,0,0,1,1,1,1,0,0,0,0.0,-35.099999999999994,1
35,1,1,0,0,0,0,1,1,1,0.0,-35.1,1
36,1,0,0,1,1,1,0,0,0,0.0,-34.709999999999994,2
37,0,1,1,0,0,0,1,1,1,0.0,-34.71,3
38,0,0,0,1,1,1,0,1,0,0.0,-34.06999999999999,2
39,1,1,1,0,0,0,1,0,1,0.0,-34.07,1
40,1,1,0,1,0,0,1,0,0,0.0,-33.76,2
41,0,0,1,0,1,1,0,1,1,0.0,-33.75999999999999,1
42,1,1,1,1,1,1,0,0,0,0.0,-33.18,1
43,0,1,1,0,1,1,0,1,1,0.0,-33.120000000000005,1
44,0,1,1,0,1,0,0,1,1,0.0,-32.120000000000005,2
45,0,0,0,1,0,0,0,1,0,0.0,-32.08,1
46,1,1,1,0,1,1,0,0,0,0.0,-31.92,1
47,1,0,0,0,0,0,1,0,1,0.0,-30.9,1
48,0,1,1,1,1,1,0,1,0,0.0,-30.90000000000001,1
49,0,1,0,0,1,0,0,1,0,0.0,-29.45,1
50,1,1,1,1,1,0,1,0,1,0.0,-27.43999999999999,1
51,1,0,0,1,1,1,1,0,0,0.0,-26.80999999999999,1
52,0,1,0,1,0,0,1,0,1,0.0,-21.54,1
53,1,1,1,0,0,1,1,0,1,0.1111111111111111,-45.63,1
