,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,1,0,0,0.0,-78.93,1368
1,1,0,0,1,0,1,1,0.0,-78.92999999999999,1474
2,1,0,1,1,0,0,1,0.0,-74.76,545
3,0,1,0,0,1,1,0,0.0,-74.76000000000002,271
4,0,1,0,0,1,0,0,0.0,-72.71000000000001,39
5,1,0,1,1,0,1,1,0.0,-72.71000000000001,98
6,0,1,0,1,1,1,0,0.0,-69.61000000000001,45
7,1,0,1,0,0,0,1,0.0,-69.61,51
8,1,0,1,0,0,0,0,0.0,-66.73,24
9,0,1,0,1,1,1,1,0.0,-66.73,12
10,1,0,1,0,1,0,0,0.0,-65.55,17
11,0,1,0,1,0,1,1,0.0,-65.55,7
12,0,1,1,0,1,1,0,0.0,-64.60000000000002,2
13,1,0,0,1,0,0,1,0.0,-64.6,2
14,1,1,1,0,1,0,0,0.0,-64.18,9
15,0,0,0,1,0,1,1,0.0,-64.17999999999999,5
16,0,0,1,0,1,1,0,0.0,-63.77000000000002,1
17,1,1,0,1,0,0,1,0.0,-63.769999999999996,1
18,0,0,0,1,1,1,1,0.0,-62.70000000000001,1
19,1,0,1,0,1,0,1,0.0,-62.28999999999999,3
20,0,0,1,1,1,1,0,0.0,-61.960000000000015,3
21,0,1,1,0,1,1,0,0.14285714285714285,-64.60000000000002,1
22,0,0,1,1,1,1,1,0.0,-61.42000000000002,1
23,1,1,0,0,0,0,0,0.0,-61.42,3
24,1,0,1,1,0,1,0,0.0,-60.59000000000002,1
25,0,1,0,0,1,0,1,0.0,-60.59,1
26,1,0,1,1,0,0,0,0.0,-60.02000000000001,1
27,0,0,1,0,1,0,0,0.0,-59.440000000000005,2
28,0,0,1,1,0,1,1,0.0,-57.98000000000001,2
29,1,0,1,0,0,1,1,0.0,-55.50000000000001,1
30,0,1,0,1,1,0,1,0.0,-55.239999999999995,1
31,1,0,1,1,0,0,1,0.14285714285714285,-74.76,1
32,1,0,1,1,1,0,1,0.0,-53.10000000000001,1
33,0,1,1,0,0,0,0,0.0,-52.39000000000001,1
34,1,0,0,1,1,1,1,0.0,-52.39000000000001,1
35,1,0,0,1,0,1,0,0.0,-52.370000000000005,1
36,0,1,1,1,1,0,0,0.0,-50.780000000000015,1
37,1,1,0,1,0,1,0,0.0,-49.66000000000001,1
38,0,1,0,0,1,1,0,0.14285714285714285,-74.76000000000002,1
