,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,0,0,1,0,1,0.0,-145.0,625
1,0,1,1,0,1,1,0,1,0,0.0,-145.00000000000006,360
2,0,1,0,0,0,0,1,1,1,0.0,-142.52,440
3,1,0,1,1,1,1,0,0,0,0.0,-142.52,199
4,1,1,1,0,0,1,1,0,0,0.0,-142.15,738
5,0,0,0,1,1,0,0,1,1,0.0,-142.14999999999998,365
6,1,1,0,1,0,0,1,0,1,0.0,-141.2,285
7,0,0,1,0,1,1,0,1,0,0.0,-141.20000000000002,185
8,1,0,0,1,0,0,1,1,1,0.0,-138.18,80
9,0,1,1,0,1,1,0,0,0,0.0,-138.18000000000004,85
10,1,0,0,0,0,0,1,1,1,0.0,-136.62,28
11,0,1,1,1,1,1,0,0,0,0.0,-136.62000000000003,14
12,0,0,0,1,1,1,0,1,0,0.1111111111111111,-134.07000000000002,44
13,1,1,1,0,0,0,1,0,1,0.1111111111111111,-134.07,70
14,1,1,0,0,0,0,1,0,1,0.0,-135.76,47
15,0,0,1,1,1,1,0,1,0,0.0,-135.76000000000002,26
16,0,0,0,1,1,0,0,1,0,0.0,-135.63,25
17,1,1,1,0,0,1,1,0,1,0.0,-135.63,40
18,1,1,0,0,0,0,1,1,1,0.0,-135.1,28
19,0,0,1,1,1,1,0,0,0,0.0,-135.1,21
20,1,0,0,1,1,1,0,0,0,0.0,-134.71000000000006,15
21,0,1,1,0,0,0,1,1,1,0.0,-134.71,27
22,1,0,1,1,1,1,1,0,0,0.0,-134.66,17
23,0,1,0,0,0,0,0,1,1,0.0,-134.66,24
24,1,1,1,0,0,0,1,0,1,0.0,-134.07,16
25,0,0,0,1,1,1,0,1,0,0.0,-134.07000000000002,13
26,0,0,1,0,1,1,0,1,1,0.0,-133.76,8
27,1,1,0,1,0,0,1,0,0,0.0,-133.76,7
28,0,1,0,1,0,0,1,1,1,0.0,-132.60000000000002,19
29,1,0,1,0,1,1,0,0,0,0.0,-132.6,5
30,0,1,1,0,1,0,0,1,1,0.0,-132.11999999999998,8
31,1,0,0,1,0,1,1,0,0,0.0,-132.12,7
32,0,0,0,1,0,0,1,1,1,0.0,-131.92000000000002,10
33,1,1,1,0,1,1,0,0,0,0.0,-131.92,8
34,0,0,1,0,1,0,0,1,1,0.0,-131.81999999999996,2
35,1,1,0,1,0,1,1,0,0,0.0,-131.82000000000002,4
36,0,0,0,1,1,0,0,1,1,0.1111111111111111,-142.14999999999998,1
37,1,1,1,0,0,1,1,0,1,0.1111111111111111,-135.63,3
38,0,0,0,0,1,0,0,1,1,0.0,-130.26999999999998,4
39,1,1,1,1,0,1,1,0,0,0.0,-130.26999999999995,4
40,0,0,1,1,1,0,0,1,1,0.0,-129.36,4
41,1,1,0,0,0,1,1,0,0,0.0,-129.36,5
42,1,0,1,0,0,1,1,0,1,0.0,-129.04999999999998,6
43,0,1,0,1,1,0,0,1,0,0.0,-129.05,2
44,0,1,1,0,1,1,0,0,1,0.0,-128.04000000000002,3
45,0,1,0,0,1,0,0,1,1,0.0,-127.90999999999998,2
46,1,0,1,1,0,1,1,0,0,0.0,-127.90999999999997,1
47,0,0,0,1,1,1,0,0,0,0.0,-127.27,1
48,1,1,1,0,0,0,1,1,1,0.0,-127.27000000000002,2
49,1,1,1,0,1,1,1,0,0,0.0,-127.21999999999997,4
50,1,0,0,0,0,0,0,1,1,0.0,-127.16000000000001,4
51,0,1,1,1,1,1,1,0,0,0.0,-127.16,6
52,1,0,0,1,0,0,0,1,1,0.0,-126.96000000000002,3
53,0,1,1,0,1,1,1,0,0,0.0,-126.96000000000001,4
54,0,1,1,0,0,0,0,1,1,0.0,-126.81000000000002,1
55,1,0,0,1,1,1,1,0,0,0.0,-126.81000000000006,1
56,1,0,1,1,0,0,1,0,1,0.0,-126.31,2
57,0,1,0,0,1,1,0,1,0,0.0,-126.31,1
58,0,1,1,0,1,0,0,1,0,0.0,-126.28,1
59,1,1,0,0,0,0,1,0,1,0.1111111111111111,-135.76,1
60,1,1,0,0,0,1,1,0,1,0.0,-125.46000000000001,1
61,1,1,1,1,0,0,1,0,1,0.0,-125.16999999999999,2
62,0,0,0,0,1,1,0,1,0,0.0,-125.17000000000002,3
63,0,1,0,1,0,0,1,0,1,0.1111111111111111,-121.54000000000002,1
64,1,0,0,1,1,0,0,1,0,0.0,-124.59000000000003,1
65,0,0,0,0,0,0,1,1,1,0.0,-123.17999999999999,1
66,1,1,0,0,0,0,1,1,0,0.0,-123.02000000000001,1
67,0,0,1,1,1,1,0,0,1,0.0,-123.01999999999998,1
68,0,1,0,1,0,0,0,1,1,0.0,-122.98,1
69,0,1,0,1,0,0,1,1,0,0.0,-122.62000000000003,1
70,0,0,0,1,1,0,1,1,1,0.0,-122.56999999999998,2
71,1,1,1,0,0,1,0,0,0,0.0,-122.57000000000001,1
72,0,1,1,0,0,1,0,1,0,0.0,-121.99000000000004,2
