,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,1,1,0,1,1,1,0.0,-66.82000000000002,199
1,1,0,1,1,0,0,1,0,0,0,0.0,-66.82000000000001,1129
2,1,0,1,1,0,0,1,1,0,0,0.0,-66.57000000000001,1940
3,0,1,0,0,1,1,0,0,1,1,0.0,-66.57000000000001,570
4,0,1,1,0,1,1,0,1,0,1,0.0,-58.78000000000001,8
5,1,0,0,1,0,0,1,0,1,0,0.0,-58.78,5
6,0,1,1,0,1,1,0,1,1,1,0.0,-58.48000000000002,9
7,1,0,0,1,0,0,1,0,0,0,0.0,-58.480000000000004,14
8,1,0,1,1,0,0,1,0,1,0,0.0,-57.760000000000005,22
9,0,1,0,0,1,1,0,1,0,1,0.0,-57.76000000000001,6
10,1,0,1,1,0,1,1,0,0,0,0.0,-56.56999999999999,12
11,0,1,0,0,1,0,0,1,1,1,0.0,-56.570000000000014,1
12,1,0,1,1,0,1,1,1,0,0,0.0,-56.33999999999999,24
13,0,1,0,0,1,0,0,0,1,1,0.0,-56.34000000000001,4
14,1,0,1,1,0,0,1,1,0,1,0.0,-55.74,19
15,0,1,0,0,1,1,0,0,1,0,0.0,-55.74,2
16,1,0,1,1,0,1,1,0,1,0,0.0,-54.389999999999986,4
17,0,1,0,0,1,0,0,1,0,1,0.0,-54.39000000000001,1
18,1,0,1,1,0,0,1,1,1,0,0.0,-53.61000000000001,11
19,0,1,0,0,1,1,0,0,0,1,0.0,-53.61,5
20,0,1,1,0,1,0,0,1,0,1,0.0,-51.550000000000004,1
21,1,0,1,1,0,0,1,1,0,0,0.1,-66.57000000000001,2
22,1,0,1,1,0,0,1,1,0,0,0.1,-66.57000000000001,1
23,1,0,1,1,0,0,1,1,0,0,0.1,-66.57000000000001,1
24,0,1,0,0,0,1,1,1,1,0,0.0,-45.70000000000002,1
25,1,0,1,1,0,1,1,1,0,0,0.1,-56.33999999999999,1
26,0,1,0,0,1,1,0,0,1,1,0.1,-66.57000000000001,1
27,1,1,1,1,0,0,1,0,0,0,0.0,-36.849999999999994,1
28,0,1,0,0,0,1,1,1,1,1,0.0,-35.71000000000002,1
29,1,0,1,1,0,0,1,1,0,1,0.1,-55.74,1
30,1,1,1,0,0,1,1,1,0,1,0.0,-33.46,1
31,1,0,0,1,0,0,1,0,0,0,0.1,-58.480000000000004,1
32,0,0,0,1,1,1,0,0,1,0,0.0,-31.19,1
33,0,1,0,1,1,1,0,1,1,1,0.1,-24.94000000000001,1
