,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,1,0,0,0.0,-28.19,933
1,1,0,0,0,0,1,1,0.0,-28.19,1800
2,0,1,1,1,0,0,0,0.0,-27.01,669
3,1,0,0,0,1,1,1,0.0,-27.01,446
4,0,0,0,0,0,1,1,0.0,-22.43,47
5,1,1,1,1,1,0,0,0.0,-22.430000000000003,29
6,1,1,1,1,0,0,0,0.0,-20.17,12
7,0,0,0,0,1,1,1,0.0,-20.17,7
8,0,1,1,1,1,0,1,0.0,-19.520000000000003,14
9,1,0,0,0,0,1,0,0.0,-19.52,16
10,1,0,0,0,1,1,0,0.0,-17.68,8
11,0,1,1,1,0,0,1,0.0,-17.680000000000003,10
12,1,0,0,0,1,1,1,0.14285714285714285,-27.01,1
13,1,0,0,0,0,1,1,0.14285714285714285,-28.19,1
14,1,0,0,1,1,1,1,0.0,-10.64,1
15,0,1,1,0,0,0,0,0.0,-10.64,1
16,1,0,0,0,1,1,1,0.14285714285714285,-27.01,1
17,0,0,1,1,0,0,0,0.0,-7.62,1
18,0,1,1,0,1,0,1,0.0,-7.170000000000002,1
19,0,1,1,1,1,0,0,0.14285714285714285,-28.19,1
20,1,0,0,1,0,1,1,0.0,-5.359999999999999,1
