,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,0,1,0,1,0.0,-32.98,1837
1,1,0,1,0,1,0,1,0,0.0,-32.980000000000004,1922
2,0,1,0,1,1,1,0,1,0.0,-26.589999999999996,43
3,1,0,1,0,0,0,1,0,0.0,-26.59,61
4,1,0,1,1,1,0,1,0,0.0,-24.200000000000003,31
5,0,1,0,0,0,1,0,1,0.0,-24.200000000000003,33
6,0,1,1,1,0,1,0,1,0.0,-22.609999999999996,10
7,1,0,0,0,1,0,1,0,0.0,-22.610000000000003,12
8,0,1,1,0,0,1,0,1,0.0,-20.21,3
9,1,0,0,1,1,0,1,0,0.0,-20.21,5
10,1,0,1,0,0,1,1,0,0.0,-19.94,14
11,0,1,0,1,1,0,0,1,0.0,-19.939999999999998,5
12,0,1,1,1,0,1,0,1,0.125,-22.609999999999996,2
13,1,0,1,0,1,0,1,0,0.125,-32.980000000000004,2
14,1,0,0,0,0,1,0,0,0.0,-17.39,3
15,0,1,1,1,1,0,1,1,0.0,-17.39,5
16,1,0,1,0,1,1,1,0,0.0,-16.970000000000002,1
17,0,1,0,1,0,0,0,1,0.0,-16.97,1
18,0,0,0,0,1,1,0,0,0.0,-14.620000000000001,1
19,1,1,0,1,1,0,1,0,0.0,-14.379999999999999,1
20,0,0,0,0,1,0,0,0,0.0,-14.13,1
21,1,1,1,1,0,1,1,1,0.0,-14.12999999999999,3
22,1,0,1,1,1,0,1,0,0.125,-24.200000000000003,2
23,0,0,0,0,1,0,1,0,0.0,-7.830000000000002,1
24,0,1,0,1,1,0,1,1,0.0,-5.799999999999999,1
