,x_0,x_1,x_10,x_11,x_12,x_13,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0.0,-337.40999999999997,589
1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.0,-337.41,954
2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0,-337.06000000000006,886
3,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0.0,-337.05999999999995,349
4,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-330.6,321
5,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-330.59999999999997,139
6,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0,-327.69000000000005,184
7,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-327.6899999999999,72
8,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-326.4100000000001,45
9,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-326.41,204
10,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0.0,-323.39,3
11,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0.0,-323.39,7
12,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0.0,-322.75,28
13,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0.0,-322.74999999999994,11
14,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.0,-315.98999999999995,6
15,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0.0,-315.9899999999999,10
16,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0.07142857142857142,-337.40999999999997,1
17,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0.07142857142857142,-322.74999999999994,1
18,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0.07142857142857142,-322.75,1
19,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-314.41999999999996,6
20,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-314.41999999999996,11
21,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0.0,-311.8,3
22,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0.0,-309.63000000000005,3
23,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0.0,-309.63,2
24,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0.0,-309.59000000000003,3
