,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,0,1,1,0.0,-22.709999999999997,1496
1,0,1,0,0,1,0,0,0.0,-22.71,1327
2,0,1,0,0,0,0,0,0.0,-21.09,578
3,1,0,1,1,1,1,1,0.0,-21.089999999999993,286
4,1,0,0,1,0,1,1,0.0,-18.93,70
5,0,1,1,0,1,0,0,0.0,-18.93,87
6,1,0,1,0,0,0,0,0.0,-16.73,80
7,0,1,0,1,1,1,1,0.0,-16.729999999999993,22
8,0,1,0,0,1,1,0,0.0,-14.76,8
9,1,0,1,1,0,0,1,0.0,-14.759999999999998,16
10,1,1,0,0,0,0,0,0.0,-11.420000000000002,10
11,0,0,1,1,1,1,1,0.0,-11.419999999999998,6
12,1,0,1,0,0,0,1,0.0,-9.61,1
13,0,1,0,1,0,1,1,0.0,-5.549999999999998,3
14,0,1,1,0,1,1,0,0.0,-4.599999999999999,1
15,0,0,0,1,0,1,1,0.0,-4.179999999999997,2
16,1,1,0,1,0,0,1,0.0,-3.7699999999999996,1
17,1,0,0,0,0,0,0,0.0,-1.19,1
18,0,0,0,0,0,0,0,0.0,0.0,1
19,1,0,1,1,0,1,1,0.14285714285714285,-22.709999999999997,1
20,0,1,0,0,1,1,0,0.14285714285714285,-14.76,1
21,0,0,0,0,1,1,0,0.0,10.329999999999998,1
22,0,0,0,0,1,0,0,0.0,11.04,1
