,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0.0,-504.46999999999997,293
1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0.0,-504.47000000000025,89
2,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-498.9200000000001,284
3,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0.0,-498.91999999999985,148
4,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0.0,-496.7400000000001,18
5,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0.0,-496.7400000000002,91
6,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0.0,-495.0099999999998,9
7,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0.0,-495.01000000000005,11
8,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,-494.1500000000001,56
9,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0.0,-494.1500000000001,79
10,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0.0,-493.6600000000002,22
11,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0.0,-493.66000000000014,96
12,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0.0,-491.9100000000002,3
13,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0.0,-491.91,13
14,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,-491.68000000000006,26
15,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0.0,-491.6800000000001,26
16,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0.0,-490.87,14
17,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0.0,-490.87000000000023,8
18,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0.0,-490.61,4
19,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-490.6100000000002,46
