,x_0,x_1,x_2,x_3,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,0.0,-15.85,1655
1,0,1,0,0,0.0,-15.85,2343
2,1,1,0,0,0.0,-4.02,2
