,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,0,0,1,0,1,0.0,-145.0,1519
1,0,1,1,0,1,1,0,1,0,0.0,-145.00000000000006,556
2,0,1,0,0,0,0,1,1,1,0.0,-142.52,125
3,1,0,1,1,1,1,0,0,0,0.0,-142.52,223
4,1,1,1,0,0,1,1,0,0,0.0,-142.15,147
5,0,0,0,1,1,0,0,1,1,0.0,-142.14999999999998,498
6,1,1,0,1,0,0,1,0,1,0.0,-141.2,173
7,0,0,1,0,1,1,0,1,0,0.0,-141.20000000000002,140
8,1,0,0,1,0,0,1,1,1,0.0,-138.18,43
9,0,1,1,0,1,1,0,0,0,0.0,-138.18000000000004,13
10,1,0,0,0,0,0,1,1,1,0.0,-136.62,36
11,0,1,1,1,1,1,0,0,0,0.0,-136.62000000000003,19
12,1,1,0,0,0,0,1,0,1,0.0,-135.76,25
13,0,0,1,1,1,1,0,1,0,0.0,-135.76000000000002,25
14,1,1,1,0,0,1,1,0,1,0.0,-135.63,11
15,0,0,0,1,1,0,0,1,0,0.0,-135.63,88
16,1,1,0,0,0,0,1,1,1,0.0,-135.1,11
17,0,0,1,1,1,1,0,0,0,0.0,-135.1,18
18,1,0,0,1,1,1,0,0,0,0.0,-134.71000000000006,27
19,0,1,1,0,0,0,1,1,1,0.0,-134.71,12
20,0,1,0,0,0,0,0,1,1,0.0,-134.66,12
21,1,0,1,1,1,1,1,0,0,0.0,-134.66,14
22,1,1,1,0,0,0,1,0,1,0.0,-134.07,13
23,0,0,0,1,1,1,0,1,0,0.0,-134.07000000000002,27
24,0,0,1,0,1,1,0,1,1,0.0,-133.76,8
25,1,1,0,1,0,0,1,0,0,0.0,-133.76,19
26,0,1,0,1,0,0,1,1,1,0.0,-132.60000000000002,9
27,1,0,1,0,1,1,0,0,0,0.0,-132.6,8
28,0,1,1,0,1,0,0,1,1,0.0,-132.11999999999998,7
29,1,0,0,1,0,1,1,0,0,0.0,-132.12,22
30,0,0,0,1,0,0,1,1,1,0.0,-131.92000000000002,9
31,1,1,1,0,1,1,0,0,0,0.0,-131.92,6
32,0,0,1,0,1,0,0,1,1,0.0,-131.81999999999996,14
33,1,1,0,1,0,1,1,0,0,0.0,-131.82000000000002,14
34,1,1,1,1,0,1,1,0,0,0.0,-130.26999999999995,4
35,0,0,0,0,1,0,0,1,1,0.0,-130.26999999999998,7
36,0,0,1,1,1,0,0,1,1,0.0,-129.36,12
37,1,1,0,0,0,1,1,0,0,0.0,-129.36,6
38,1,0,1,0,0,1,1,0,1,0.0,-129.04999999999998,2
39,0,1,0,1,1,0,0,1,0,0.0,-129.05,2
40,1,1,1,0,0,1,1,0,1,0.1111111111111111,-135.63,2
41,0,1,1,0,1,1,0,0,1,0.0,-128.04000000000002,1
42,0,1,0,0,1,0,0,1,1,0.0,-127.90999999999998,4
43,1,1,1,0,0,0,1,1,1,0.0,-127.27000000000002,2
44,0,0,0,1,1,1,0,0,0,0.0,-127.27,1
45,0,0,0,1,0,0,0,1,1,0.0,-127.22000000000001,4
46,1,1,1,0,1,1,1,0,0,0.0,-127.21999999999997,1
47,0,1,1,1,1,1,1,0,0,0.0,-127.16,2
48,1,0,0,0,0,0,0,1,1,0.0,-127.16000000000001,2
49,1,0,0,1,0,0,0,1,1,0.0,-126.96000000000002,4
50,0,1,1,0,1,1,1,0,0,0.0,-126.96000000000001,1
51,1,0,0,1,1,1,1,0,0,0.0,-126.81000000000006,1
52,1,1,1,0,0,1,1,0,1,0.1111111111111111,-135.63,1
53,1,0,1,1,0,0,1,0,1,0.0,-126.31,4
54,0,1,0,0,1,1,0,1,0,0.0,-126.31,8
55,0,1,1,0,1,0,0,1,0,0.0,-126.28,1
56,1,0,0,1,0,1,1,0,1,0.0,-126.28,3
57,1,0,1,0,0,0,1,1,1,0.0,-126.13000000000001,1
58,0,1,0,1,1,1,0,0,0,0.0,-126.13000000000002,1
59,0,0,1,1,1,0,0,1,0,0.0,-125.46000000000004,3
60,1,1,1,1,0,0,1,0,1,0.0,-125.16999999999999,2
61,0,0,0,0,1,1,0,1,0,0.0,-125.17000000000002,1
62,1,0,0,1,1,0,0,1,0,0.0,-124.59000000000003,1
63,1,0,0,1,0,0,1,0,0,0.0,-123.12,2
64,0,1,1,0,1,1,0,1,1,0.0,-123.12000000000005,1
65,0,1,0,1,0,0,0,1,1,0.0,-122.98,2
66,1,0,0,1,1,0,1,0,1,0.0,-121.99000000000001,1
67,0,1,0,1,0,0,1,0,1,0.1111111111111111,-121.54000000000002,1
68,1,0,1,0,1,1,0,1,0,0.0,-121.54000000000002,1
69,1,0,0,0,0,0,1,0,1,0.0,-120.9,4
70,0,0,0,1,1,0,0,1,1,0.1111111111111111,-142.14999999999998,1
71,1,0,0,1,1,0,0,1,1,0.1111111111111111,-116.83000000000003,1
72,0,0,1,1,1,0,0,1,0,0.1111111111111111,-125.46000000000004,1
73,0,1,1,0,0,1,1,1,0,0.0,-118.05000000000001,1
74,0,0,0,1,1,0,1,1,0,0.0,-116.76999999999998,3
75,1,0,0,1,0,0,1,0,1,0.1111111111111111,-145.0,1
76,1,0,1,0,0,1,0,0,0,0.0,-106.47,1
77,0,0,0,1,0,0,1,0,1,0.1111111111111111,-104.48000000000002,1
78,1,0,0,1,0,0,1,0,1,0.1111111111111111,-145.0,1
79,0,0,1,0,1,1,0,1,0,0.1111111111111111,-141.20000000000002,1
80,1,0,1,1,1,1,0,0,0,0.1111111111111111,-142.52,1
