,x_0,x_1,x_10,x_11,x_12,x_13,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0.0,-97.05999999999999,1247
1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0,-97.06,1245
2,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.0,-92.41,378
3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0.0,-92.40999999999998,354
4,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-90.60000000000001,115
5,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-90.6,201
6,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0,-84.26,51
7,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0.0,-84.25999999999998,44
8,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0.0,-83.38999999999999,35
9,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0.0,-83.38999999999999,41
10,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0.0,-82.75,48
11,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0.0,-82.74999999999997,35
12,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0,-82.69,7
13,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-82.69000000000003,12
14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0.0,-82.02,15
15,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0.0,-82.02,21
16,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0.0,-81.41000000000001,14
17,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-81.41000000000001,25
18,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0.07142857142857142,-82.69,10
19,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0.07142857142857142,-82.69000000000003,3
20,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0.0,-80.82,9
21,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-80.82,14
22,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0.0,-77.97,4
23,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.0,-77.97000000000001,4
24,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0.07142857142857142,-83.38999999999999,2
25,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0.0,-75.19999999999999,3
26,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0.0,-75.2,1
27,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.07142857142857142,-97.06,1
28,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-74.41999999999999,2
