,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,0,1,0.0,-16.8,612
1,0,1,0,1,1,0,0.0,-16.8,1943
2,1,1,0,1,1,0,0.0,-15.79,934
3,0,0,1,0,0,1,0.0,-15.79,210
4,0,1,0,1,0,0,0.0,-12.670000000000002,46
5,1,0,1,0,1,1,0.0,-12.670000000000003,25
6,0,1,1,1,1,0,0.0,-12.600000000000003,55
7,1,0,0,0,0,1,0.0,-12.600000000000001,51
8,0,1,1,1,0,0,0.0,-12.230000000000002,35
9,1,0,0,0,1,1,0.0,-12.230000000000002,59
10,0,0,1,0,1,1,0.0,-10.58,7
11,1,1,0,1,0,0,0.0,-10.579999999999998,10
12,1,1,1,1,1,0,0.0,-6.01,4
13,0,0,0,0,0,1,0.0,-6.01,3
14,0,0,0,0,1,1,0.0,-4.5600000000000005,2
15,1,0,0,0,1,0,0.0,-2.72,1
16,0,1,1,1,0,1,0.0,-2.7200000000000024,1
17,0,0,1,0,0,1,0.16666666666666666,-15.79,1
18,0,1,1,1,0,0,0.16666666666666666,-12.230000000000002,1
