,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,1,0,1,0.0,-22.130000000000003,879
1,0,1,1,0,0,0,1,0,0.0,-22.130000000000003,714
2,1,1,0,1,1,0,1,1,0.0,-22.019999999999996,563
3,0,0,1,0,0,1,0,0,0.0,-22.02,628
4,0,0,1,0,1,1,0,0,0.0,-20.01,162
5,1,1,0,1,0,0,1,1,0.0,-20.009999999999998,112
6,1,0,0,1,1,1,1,1,0.0,-20.000000000000004,76
7,0,1,1,0,0,0,0,0,0.0,-20.0,244
8,0,0,1,0,0,0,0,0,0.0,-19.3,195
9,1,1,0,1,1,1,1,1,0.0,-19.3,59
10,0,1,1,0,0,1,0,0,0.0,-18.959999999999997,64
11,1,0,0,1,1,0,1,1,0.0,-18.96,84
12,1,0,1,0,1,1,0,1,0.0,-17.589999999999996,75
13,0,1,0,1,0,0,1,0,0.0,-17.59,37
14,1,0,0,1,1,0,0,1,0.0,-16.709999999999997,18
15,0,1,1,0,0,1,1,0,0.0,-16.709999999999997,5
16,0,0,0,1,0,0,1,0,0.0,-15.77,12
17,1,1,1,0,1,1,0,1,0.0,-15.769999999999998,15
18,0,0,1,0,0,0,1,0,0.0,-15.31,3
19,1,1,0,1,1,1,0,1,0.0,-15.309999999999997,4
20,1,0,0,1,0,0,0,1,0.0,-14.780000000000001,5
21,0,1,1,0,1,1,1,0,0.0,-14.780000000000001,3
22,0,1,1,0,1,1,0,0,0.0,-14.510000000000002,1
23,1,0,0,1,0,0,1,1,0.0,-14.510000000000002,2
24,1,0,0,1,0,1,0,1,0.0,-14.24,1
25,0,1,1,0,1,0,1,0,0.0,-14.24,4
26,1,1,0,1,1,0,0,1,0.0,-13.649999999999995,2
27,1,1,1,0,0,1,0,1,0.0,-13.26,6
28,0,0,0,1,1,0,1,0,0.0,-13.26,2
29,0,1,0,1,1,0,1,0,0.0,-12.639999999999999,1
30,1,0,1,0,0,1,0,1,0.0,-12.639999999999999,2
31,1,1,1,0,0,0,0,1,0.0,-11.759999999999998,1
32,0,0,1,0,1,0,0,0,0.0,-11.33,2
33,1,1,0,1,0,1,0,1,0.0,-9.859999999999998,1
34,1,1,1,0,0,1,0,0,0.0,-9.510000000000002,1
35,0,1,0,0,0,0,1,0,0.0,-8.29,2
36,1,1,0,0,1,0,1,1,0.0,-7.959999999999997,1
37,1,0,1,0,0,1,0,0,0.0,-7.57,2
38,1,0,1,0,1,1,0,0,0.0,-6.64,1
39,1,1,0,0,0,0,1,1,0.0,-6.609999999999999,1
40,0,0,0,1,0,0,0,0,0.0,-6.54,1
41,0,1,1,0,0,0,0,0,0.125,-20.0,1
42,1,1,1,0,0,0,1,0,0.0,-5.24,1
43,1,0,0,0,1,1,1,1,0.0,-4.9,1
44,0,0,0,1,1,1,1,1,0.0,-4.770000000000001,1
45,1,1,1,0,0,0,0,0,0.0,-4.7700000000000005,3
46,0,0,1,0,0,0,0,0,0.125,-19.3,1
47,1,0,0,1,1,1,0,1,0.125,-22.130000000000003,1
