,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0.0,-108.52999999999997,443
1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0.0,-108.52999999999997,49
2,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0.0,-106.44999999999999,212
3,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0.0,-106.45,533
4,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-106.35,46
5,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-106.34999999999997,129
6,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0.0,-104.91999999999999,53
7,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0.0,-104.92,414
8,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0.0,-104.77000000000001,67
9,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0.0,-104.77000000000002,389
10,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0.0,-101.66999999999993,88
11,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0.0,-101.67000000000002,32
12,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0.0,-101.54,108
13,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0.0,-101.53999999999999,20
14,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0.0,-98.58000000000001,3
15,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0.0,-98.58000000000001,76
16,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0.0,-97.39000000000001,52
17,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0.0,-97.38999999999999,65
18,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0.0,-96.36000000000001,3
19,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.0,-96.35999999999999,40
20,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0.0,-95.99000000000001,13
21,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0.0,-95.99,54
22,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-94.99,19
23,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0,-94.99000000000004,4
24,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0.0,-94.8,15
25,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0.0,-94.80000000000001,18
26,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,-94.69000000000001,10
27,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0.0,-94.69000000000001,41
28,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0.0,-94.42999999999999,57
29,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0.0,-94.43,5
30,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0.0,-94.24000000000001,6
31,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,-94.24,3
32,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.0,-94.15,58
33,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,-94.15,6
34,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0.0,-93.46,4
35,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0.0,-93.46000000000002,12
36,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-93.16999999999999,5
37,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-93.17,6
38,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0.0,-93.12999999999994,41
39,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0.0,-93.13,7
40,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0.0,-92.39,25
41,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0.0,-92.38999999999999,30
42,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0.0,-91.55999999999999,31
43,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0.0,-91.56,2
44,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0.0,-90.82999999999996,22
45,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0.0,-90.78999999999999,6
46,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0.0,-90.78999999999998,7
47,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0.0,-90.74,6
48,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0.0,-90.74000000000001,3
49,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0.0,-90.69999999999999,2
50,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0.0,-90.3,1
51,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0.0,-90.30000000000001,1
52,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0.0,-89.91000000000001,8
53,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0.0,-89.91000000000001,5
54,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0.0,-89.87,4
55,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0.0,-89.86999999999998,7
56,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0.0,-89.72,12
57,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0.0,-89.72,3
58,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0.0,-89.66,1
59,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0.0,-89.65999999999998,12
60,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0.0,-89.53999999999996,12
61,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0.0,-89.17,13
62,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0.0,-89.16999999999999,13
63,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0.0,-89.17000000000002,4
64,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0.0,-88.49000000000001,2
65,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.0,-88.49,1
66,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-88.47,4
