,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-187.56,565
1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.0,-187.55999999999997,101
2,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-186.54000000000002,578
3,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.0,-186.53999999999996,78
4,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.0,-185.73999999999998,442
5,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-185.74,384
6,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0,-184.88,123
7,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0.0,-184.88000000000002,293
8,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0.0,-182.5,180
9,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0.0,-182.5,39
10,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0.0,-180.87,76
11,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0.0,-180.87,107
12,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0.0,-179.49,102
13,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0.0,-179.48999999999995,13
14,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-176.21000000000004,43
15,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.0,-176.20999999999998,4
16,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0.0,-175.92,8
17,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0.0,-175.92000000000002,53
18,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0.0,-175.90999999999997,7
19,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0.0,-175.90999999999997,46
20,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0,-175.46000000000004,34
21,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0.0,-175.45999999999998,32
22,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0.0,-175.26,19
23,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0.0,-175.26000000000005,32
24,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.0,-175.11999999999995,23
25,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-175.12,60
26,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0.0,-174.77999999999997,27
27,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0.0,-174.77999999999997,4
28,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.05,-186.54000000000002,37
29,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0.05,-174.77999999999997,3
30,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0.05,-173.70000000000002,4
31,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.05,-187.56,27
32,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0.05,-185.74,10
33,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.05,-185.73999999999998,22
34,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0.0,-173.7,20
35,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0.0,-173.60000000000002,26
36,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0.0,-173.6,43
37,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0.0,-172.99,33
38,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0.0,-172.98999999999998,8
39,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0.0,-172.73000000000002,19
40,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0.0,-172.72999999999996,15
41,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.05,-184.88,7
42,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.05,-185.73999999999998,4
43,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-171.3,8
44,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.0,-171.29999999999995,7
45,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0.0,-170.77999999999997,10
46,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0.0,-170.29000000000002,7
47,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-169.39,11
