,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,0,1,1,0.0,-22.709999999999997,1651
1,0,1,0,0,1,0,0,0.0,-22.71,1300
2,1,0,1,1,1,1,1,0.0,-21.089999999999993,265
3,0,1,0,0,0,0,0,0.0,-21.09,441
4,0,1,1,0,1,0,0,0.0,-18.93,97
5,1,0,0,1,0,1,1,0.0,-18.93,40
6,1,0,1,0,0,0,0,0.0,-16.73,103
7,0,1,0,1,1,1,1,0.0,-16.729999999999993,45
8,1,0,1,1,0,0,1,0.0,-14.759999999999998,9
9,0,1,0,0,1,1,0,0.0,-14.76,20
10,0,0,1,1,1,1,1,0.0,-11.419999999999998,6
11,1,1,0,0,0,0,0,0.0,-11.420000000000002,6
12,1,0,1,0,0,0,1,0.0,-9.61,3
13,0,1,0,1,1,1,0,0.0,-9.609999999999996,2
14,0,0,1,0,1,0,0,0.0,-9.440000000000001,6
15,1,1,0,1,0,1,1,0.0,-9.43999999999999,1
16,1,0,1,1,1,1,1,0.14285714285714285,-21.089999999999993,1
17,0,1,0,0,1,0,0,0.14285714285714285,-22.71,1
18,0,1,0,0,1,0,1,0.0,-0.5900000000000012,1
19,1,0,1,1,0,0,0,0.0,-0.020000000000000462,1
20,1,0,1,1,0,1,1,0.14285714285714285,-22.709999999999997,1
