,x_0,x_1,x_10,x_11,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-225.06000000000003,225
1,1,0,0,1,0,0,1,0,1,0,0,1,0.0,-225.05999999999997,400
2,0,1,1,1,0,0,0,1,0,1,1,1,0.0,-222.02,295
3,1,0,0,0,1,1,1,0,1,0,0,0,0.0,-222.01999999999992,672
4,1,0,0,1,0,1,1,0,1,0,0,1,0.0,-221.83,231
5,0,1,1,0,1,0,0,1,0,1,1,0,0.0,-221.83,62
6,0,1,1,1,0,0,1,1,0,1,0,1,0.0,-221.72,52
7,1,0,0,0,1,1,0,0,1,0,1,0,0.0,-221.72000000000003,682
8,0,0,1,1,0,0,1,1,0,1,0,1,0.0,-220.78,125
9,1,1,0,0,1,1,0,0,1,0,1,0,0.0,-220.77999999999997,300
10,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-217.95999999999998,12
11,1,0,1,0,1,0,0,1,1,0,1,0,0.0,-217.96,65
12,0,1,1,0,1,1,0,1,0,1,1,0,0.08333333333333333,-225.06000000000003,5
13,1,0,0,1,0,0,1,0,1,0,0,1,0.08333333333333333,-225.05999999999997,8
14,0,1,1,1,0,0,0,1,1,1,1,0,0.0,-215.35999999999999,8
15,1,0,0,0,1,1,1,0,0,0,0,1,0.0,-215.36,24
16,1,0,0,0,1,1,1,0,0,0,0,0,0.0,-215.27999999999997,33
17,0,1,1,1,0,0,0,1,1,1,1,1,0.0,-215.28,14
18,0,0,1,1,0,0,1,1,0,1,0,1,0.08333333333333333,-220.78,7
19,1,1,0,0,1,1,0,0,1,0,1,0,0.08333333333333333,-220.77999999999997,6
20,0,1,1,1,0,0,0,1,0,1,0,1,0.0,-215.02000000000007,6
21,1,0,0,0,1,1,1,0,1,0,1,0,0.0,-215.01999999999992,153
22,0,1,0,1,0,1,0,0,0,1,1,1,0.0,-214.97999999999996,22
23,1,0,1,0,1,0,1,1,1,0,0,0,0.0,-214.98000000000002,24
24,1,0,0,1,1,1,1,0,1,0,0,0,0.0,-214.5299999999999,153
25,0,1,1,0,0,0,0,1,0,1,1,1,0.0,-214.53000000000003,36
26,1,0,0,1,0,1,1,0,1,0,0,1,0.08333333333333333,-221.83,1
27,1,0,0,1,1,1,0,0,1,0,1,0,0.0,-213.98999999999998,127
28,0,1,1,0,0,0,1,1,0,1,0,1,0.0,-213.99,7
29,0,0,1,1,0,0,1,1,1,1,0,1,0.0,-213.78,6
30,1,1,0,0,1,1,0,0,0,0,1,0,0.0,-213.77999999999997,13
31,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-212.38,10
32,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-212.38000000000002,2
33,1,0,0,1,0,0,1,0,1,0,0,1,0.08333333333333333,-225.05999999999997,3
34,0,1,1,0,1,1,0,1,0,1,1,0,0.08333333333333333,-225.06000000000003,1
35,0,1,1,1,0,1,0,0,0,1,1,1,0.0,-211.60000000000005,4
36,1,0,0,0,1,0,1,1,1,0,0,0,0.0,-211.6,12
37,1,0,0,1,1,1,1,0,0,0,0,1,0.0,-211.35,14
38,0,1,1,0,0,0,0,1,1,1,1,0,0.0,-211.35,1
39,1,0,0,1,0,1,1,0,1,0,0,0,0.0,-211.27,17
40,0,1,1,0,1,0,0,1,0,1,1,1,0.0,-211.27,9
41,1,0,0,0,1,1,1,0,1,0,0,0,0.08333333333333333,-222.01999999999992,1
42,1,0,0,0,0,0,1,1,1,0,0,1,0.0,-210.76000000000002,3
43,0,1,1,1,1,1,0,0,0,1,1,0,0.0,-210.76000000000002,4
44,1,0,0,1,0,1,1,0,1,0,0,1,0.08333333333333333,-221.83,2
45,0,1,1,0,1,0,0,1,0,1,1,0,0.08333333333333333,-221.83,1
46,0,0,1,0,0,0,1,1,0,1,0,1,0.0,-210.42999999999998,5
47,1,1,0,1,1,1,0,0,1,0,1,0,0.0,-210.42999999999992,35
48,1,1,0,0,1,1,0,0,0,0,1,1,0.0,-210.08000000000004,1
49,1,0,0,1,0,1,1,0,0,0,0,1,0.0,-209.82999999999996,1
50,0,1,1,0,1,0,0,1,1,1,1,0,0.0,-209.83,3
51,0,1,0,1,1,1,0,0,0,1,1,1,0.0,-207.63999999999993,5
52,1,0,0,1,1,1,1,0,0,0,0,0,0.0,-207.08999999999995,9
53,0,1,1,0,0,0,0,1,1,1,1,1,0.0,-207.09,2
54,0,1,1,1,1,1,0,1,0,1,1,0,0.0,-206.63000000000002,2
55,1,1,0,1,0,1,0,0,1,0,1,1,0.0,-206.44999999999996,3
56,0,1,0,1,0,0,0,1,1,1,1,1,0.0,-205.99999999999994,1
57,1,0,0,0,1,0,1,0,1,0,0,0,0.0,-205.48999999999998,1
58,1,0,0,0,1,0,1,1,1,0,0,1,0.0,-205.22000000000003,1
59,0,1,1,1,0,1,0,0,0,1,1,0,0.0,-205.22000000000006,1
60,0,1,0,1,0,0,1,1,0,1,0,1,0.0,-204.93999999999994,1
61,1,0,1,0,1,1,0,0,1,0,1,0,0.0,-204.94000000000003,2
62,1,0,1,0,1,0,0,1,1,0,0,0,0.0,-204.9,1
63,1,1,0,1,1,1,0,0,1,0,1,0,0.08333333333333333,-210.42999999999992,2
64,1,0,0,0,1,1,1,0,1,0,0,1,0.0,-204.11999999999992,1
65,1,1,0,1,0,1,1,0,0,0,0,1,0.0,-203.34999999999994,2
66,0,1,1,0,0,0,0,1,0,1,1,1,0.08333333333333333,-214.53000000000003,1
67,1,1,0,1,1,1,0,0,0,0,1,1,0.0,-203.21,2
68,0,0,1,1,0,0,1,1,1,1,1,0,0.0,-203.1,3
69,0,1,0,1,0,0,0,1,0,1,1,1,0.0,-203.03999999999996,1
70,1,0,1,0,1,1,1,0,1,0,0,0,0.0,-203.03999999999994,1
71,1,0,0,0,1,1,0,1,1,0,1,0,0.0,-202.76999999999998,2
72,1,0,0,1,0,0,1,0,1,0,0,0,0.0,-202.75999999999996,1
73,1,1,0,1,1,1,0,0,0,0,1,0,0.0,-202.72999999999993,1
74,1,0,0,1,0,1,0,0,1,0,0,1,0.0,-202.41,1
75,0,1,0,1,1,1,0,0,0,1,1,0,0.0,-202.27999999999997,1
76,1,0,0,1,0,0,1,0,1,0,0,1,0.08333333333333333,-225.05999999999997,1
77,1,0,0,0,1,1,1,0,1,0,0,0,0.08333333333333333,-222.01999999999992,1
78,1,1,0,1,0,1,1,0,1,0,0,1,0.0,-201.00999999999996,1
79,1,0,0,0,1,1,1,0,0,0,1,0,0.0,-200.83999999999997,1
