,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,0,1,0,0.0,-112.98000000000002,1831
1,0,1,0,1,0,1,0,1,0.0,-112.98,1974
2,0,1,0,1,1,1,0,1,0.0,-101.59000000000002,19
3,1,0,1,0,0,0,1,0,0.0,-101.59,17
4,0,1,1,0,0,1,0,1,0.0,-100.21,44
5,1,0,0,1,1,0,1,0,0.0,-100.21,9
6,1,0,1,0,0,1,1,0,0.0,-99.94000000000001,14
7,0,1,0,1,1,0,0,1,0.0,-99.94000000000003,21
8,0,1,0,0,0,1,0,1,0.0,-99.19999999999999,17
9,1,0,1,1,1,0,1,0,0.0,-99.2,16
10,1,0,0,0,1,0,1,0,0.0,-97.61,5
11,0,1,1,1,0,1,0,1,0.0,-97.60999999999999,16
12,1,0,1,0,0,1,1,0,0.125,-99.94000000000001,1
13,0,1,0,1,0,0,0,1,0.0,-91.97,1
14,1,1,0,1,1,0,1,0,0.0,-89.37999999999998,1
15,0,1,1,0,0,0,0,1,0.0,-87.39999999999999,1
16,1,1,1,0,1,0,1,0,0.0,-85.21000000000001,2
17,0,0,0,1,0,1,0,1,0.0,-85.21000000000001,1
18,1,0,1,0,0,0,1,1,0.0,-85.07000000000001,1
19,1,0,1,0,0,1,1,1,0.0,-82.50000000000003,1
20,1,0,1,0,1,0,1,0,0.125,-112.98000000000002,1
21,0,1,0,1,1,0,1,1,0.0,-80.80000000000001,1
22,0,0,1,0,1,0,1,1,0.0,-78.42000000000002,1
23,1,1,0,1,0,1,0,0,0.0,-78.41999999999997,1
24,0,1,0,1,0,1,0,1,0.125,-112.98,1
25,1,1,1,1,1,0,1,0,0.0,-74.08999999999999,1
26,0,1,1,1,0,1,0,1,0.125,-97.60999999999999,1
27,1,0,1,0,1,0,1,0,0.125,-112.98000000000002,1
