,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0.0,-504.46999999999997,478
1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0.0,-504.47000000000025,24
2,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-498.9200000000001,33
3,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0.0,-498.91999999999985,359
4,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0.0,-496.7400000000002,76
5,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0.0,-496.7400000000001,5
6,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0.0,-495.0099999999998,50
7,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0.0,-495.01000000000005,106
8,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0.0,-494.1500000000001,39
9,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,-494.1500000000001,6
10,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0.0,-493.66000000000014,57
11,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0.0,-493.6600000000002,7
12,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0.0,-491.9100000000002,1
13,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0.0,-491.91,24
14,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,-491.68000000000006,6
15,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0.0,-491.6800000000001,44
16,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0.0,-490.87,9
17,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0.0,-490.87000000000023,12
18,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0.0,-490.61,6
19,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-490.6100000000002,10
20,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0.0,-490.1500000000003,3
21,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0.0,-490.14999999999986,11
22,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0.0,-490.12999999999994,72
23,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0.0,-490.12999999999977,24
24,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0.0,-489.86999999999983,1
25,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0.0,-489.86999999999983,62
26,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0.0,-489.11999999999983,54
27,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0.0,-489.11999999999995,6
28,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-488.7300000000002,7
29,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0.0,-488.73,3
30,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-488.71000000000015,3
31,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0.0,-488.7099999999999,44
32,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0.0,-488.6899999999999,19
33,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0.0,-488.69000000000017,3
34,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-488.34000000000003,1
35,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0.0,-488.34000000000015,39
36,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0.0,-488.2999999999997,4
37,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0.0,-488.29999999999995,18
38,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0.0,-488.2599999999999,6
39,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0.0,-488.2599999999999,33
40,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0.0,-488.08999999999986,13
41,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,-488.09000000000015,14
42,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0.0,-487.82000000000005,7
43,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-487.68999999999994,6
44,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0.0,-487.69,1
45,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0.0,-487.69000000000005,15
46,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,-487.69000000000017,6
47,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0.0,-487.68000000000023,6
48,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0.0,-487.68,5
49,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-487.64000000000016,2
50,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0.0,-487.63999999999993,33
51,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0.0,-487.57999999999987,6
52,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0.0,-487.58,27
53,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0.0,-487.2699999999998,5
54,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0.0,-487.27000000000004,45
55,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0.05555555555555555,-483.5,3
56,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0.05555555555555555,-483.5000000000001,21
57,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-487.0400000000003,3
58,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0.0,-487.03999999999985,2
59,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0.0,-486.9800000000002,8
60,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0.0,-486.9800000000001,4
